stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,25.18,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,1,7,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,17,0,0,0,0,0,0,1,0,1,17,0,0,1,0,0
 24-34,0,0,0,0,4.93,0,0,4.93,0,0.82,0,0.82,1.64,0,0,0,0,0,0.82,3.28,0,2.46,32.83,0,0,0.82,0,0,0,0,1.64,0,12.31,0,0,4.93,0,0
 36-46,0,0,0,0,2.42,0,0,3.22,0.81,1.61,0.81,2.42,0,0,0.81,0,0,0.81,0.81,7.25,0,0,27.39,0,0,0.81,0,0,0.81,0,0.81,0,12.89,0,0,3.22,0,0.81
 48-58,0,0,0,0,0.57,0,0,11.48,0,0.57,0,3.44,0,0,0,0,0.57,0,0,6.31,0.57,0.57,20.08,0,1.72,0.57,0,0,0,0,0,0,5.74,0,0,2.3,0,0.57
 60-70,0,0,0,0,0.98,0,0,18.65,0,1.96,0.98,7.85,0.98,0,0,0,0,0,0,12.76,0,0,20.61,0,0,2.94,0,0,0,0,0,0,4.91,0,0.98,0,0,0.98
 72-82,0,0,0.98,0,2.94,0.98,0,10.8,0,0,0.98,11.78,2.94,0.98,0,0,0,0,0,8.83,0.98,0,16.69,0,1.96,0.98,0,0.98,0,0,0.98,0,1.96,0.98,0,0.98,0.98,1.96
 84-94,0,0,0,0,5.31,1.06,0,4.25,1.06,1.06,0,6.37,0,0,0,0,0,1.06,1.06,6.37,1.06,0,9.56,0,1.06,0,0,1.06,0,0,1.06,0,4.25,0,0,4.25,0,1.06
 96-106,0,0,1.09,0,6.56,0,0,5.46,0,0,0,12.02,0,0,0,1.09,0,2.19,0,4.37,0,1.09,7.65,0,2.19,3.28,0,0,1.09,0,1.09,0,1.09,0,0,2.19,1.09,0
108-118,0,0,0,0.77,1.53,0.77,0.77,3.06,0,0.77,0.77,15.32,1.53,0,0,0,1.53,0,1.53,6.13,0,1.53,9.96,0,2.3,2.3,0,0,0.77,0,0.77,0,0,0.77,0,0.77,0,0
120,0,0,1.96,0,1.96,0,0,1.96,0,0,1.96,7.84,3.92,0,0,0,0,0,0,7.84,0,0,11.76,0,1.96,1.96,0,0,1.96,0,0,0,1.96,0,1.96,1.96,0,0
