stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,4006.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0,6.13,0,36.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,7.89,0,0,0,18.4,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,149.84,2.63,0,0,60.46,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,12.59,0,3.15,0,12.59,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,270.64,9.44,0,0,94.41,0,0,6.29,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,37,8,0,17,0,0,7,0,0,0,1,1,0,0,0,0,17,0,0,7,316,7,4,1,3,0,2,0,23,6,4,32,71,0,0,1,0,1
 24-34,0,0,0,1.64,13.95,3.28,0,76.34,0.82,0,16.42,0,0,0.82,1.64,2.46,0.82,0,0.82,0,45.15,0,0,16.42,554.9,1.64,7.39,4.93,0,0,9.03,0.82,0.82,1.64,0,4.93,102.61,0,0,10.67,0,1.64
 36-46,0,0,0,0,4.83,0.81,0,137.77,0,1.61,14.5,0.81,0,0,0.81,0,0,0,0,0,37.06,0,0,14.5,394.78,0.81,5.64,2.42,0,0,2.42,0,0.81,0.81,0.81,0,62.04,0,0,3.22,0,0
 48-58,0,0,0,0,2.3,0,0,130.25,0.57,0.57,19.51,0.57,0,1.15,1.15,0,0,1.15,0,0.57,42.46,0,0.57,8.03,199.68,1.15,1.15,2.87,0,0,2.3,0,0,0,0,0,28.69,0,0,2.87,0,1.15
 60-70,0,0,0,0,1.96,0,0,94.23,0,2.94,20.61,0.98,0,0,1.96,0,0,0,0.98,0,44.17,0,0,3.93,145.27,1.96,2.94,1.96,0,0,0.98,0,0,0,0,0,16.69,0,0,0.98,0,0
 72-82,0,0,0,0,7.85,0,0,49.08,0,2.94,18.65,0,0,0.98,0,0.98,0.98,0.98,0,0,47.12,0,3.93,6.87,119.76,0.98,2.94,0.98,0,1.96,0,0,0,0,0,0,4.91,0,0.98,3.93,1.96,0.98
 84-94,0,0,1.06,0,7.43,0,0,41.42,1.06,1.06,19.12,1.06,0,1.06,4.25,1.06,1.06,1.06,2.12,1.06,39.3,0,2.12,9.56,78.59,2.12,3.19,3.19,0,0,4.25,0,0,0,0,0,5.31,0,1.06,6.37,0,0
 96-106,0,0,0,0,4.37,0,1.09,24.04,0,0,15.3,2.19,0,0,5.46,0,1.09,1.09,0,0,27.32,0,0,2.19,59.01,0,2.19,0,0,0,5.46,0,0,1.09,0,0,3.28,0,2.19,3.28,1.09,0
108-118,0,0,0,0,3.83,0,0.77,25.28,0.77,1.53,14.55,0.77,0,0,3.83,0.77,0.77,2.3,0.77,0,29.11,0.77,0,4.6,67.4,0.77,0,2.3,0,0.77,3.06,0,0,0.77,0.77,0,1.53,1.53,0.77,1.53,0,0
120,0,0,0,0,1.96,5.88,0,25.48,0,1.96,11.76,0,0,0,7.84,1.96,1.96,0,0,0,25.48,0,0,3.92,86.23,0,0,0,0,0,1.96,1.96,0,0,0,0,1.96,0,0,7.84,0,0
