stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,1,5,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,30,1,1,0,2,0,1,0,3,0,2,15,0,0,1,0,0
 24-34,0,0,7.39,1.64,5.75,0,0.82,1.64,0,0,0.82,0.82,0,0,0,0,8.21,0,0,2.46,66.49,0,0.82,0.82,0,0,1.64,0,0,0,2.46,21.34,0,0,0.82,0,0.82
 36-46,0,0,0.81,0,12.09,0,0.81,4.83,0,1.61,0,0,0,0,0,0,15.31,0,0,4.03,146.63,0,0.81,1.61,0,0,0,0,0,0.81,0,37.06,0,0,2.42,0,0.81
 48-58,0,0,2.3,0,13.77,1.15,1.15,6.89,0,0.57,0,0,0,0,0,0,18.36,0,1.15,4.02,82.05,0.57,1.15,0.57,0,0.57,0,0,0,0,0,16.64,0,0,1.15,0,0
 60-70,0,0,1.96,0,16.69,0,0,7.85,0.98,0,0,0,0,0,0,0,15.7,0,0,0,53,0,1.96,0.98,0,0,0,0,0,0,0,6.87,0,0.98,2.94,0,0
 72-82,0,0,0,0,35.34,0.98,1.96,27.49,0.98,0,0.98,0,0,0,0,0.98,44.17,0,0.98,6.87,120.74,0,0.98,0.98,0,0,0,0,0,0,0,15.71,0.98,0,0.98,0.98,0
 84-94,0,0,5.31,0,10.62,0,1.06,8.5,0,1.06,0,0,1.06,1.06,0,2.12,12.74,0,1.06,0,38.23,1.06,0,0,0,1.06,0,0,0,0,0,4.25,2.12,0,3.19,1.06,0
 96-106,0,0,3.28,0,3.28,2.19,0,2.19,0,0,0,0,1.09,0,0,0,16.39,0,0,1.09,19.67,0,2.19,1.09,0,0,0,0,0,0,0,2.19,0,0,3.28,0,1.09
108-118,0,0,5.36,1.53,10.72,0.77,2.3,13.02,0,0.77,0,0.77,1.53,0,0,0,19.92,0,0.77,0.77,49.79,0,0,4.6,0,0,3.83,0,0,0,0,3.06,0,0.77,1.53,0,0
120,0,0,11.76,0,5.88,1.96,0,5.88,0,0,1.96,1.96,0,0,1.96,0,13.72,1.96,1.96,5.88,111.71,0,0,1.96,0,0,3.92,0,0,0,0,1.96,1.96,0,1.96,0,0
