stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,56.65,0,3.15,3.15,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,415.4,6.29,0,0,18.88,0,6.29,15.73,0,6.29,0,0,0,0
 14-21,0,0,6,79,214,76,49,7,0,23,58,0,5,0,0,0,0,100,0,0,32,154,3,0,3,7,0,3,7,4,279,0,25,0,0
 24-34,0.82,0,5.75,23.8,50.07,13.13,87.83,22.98,3.28,45.15,13.95,0,4.1,0.82,0,0,0.82,103.43,1.64,0.82,23.8,110.82,0,0.82,2.46,0,0,1.64,1.64,2.46,174.84,0,73.06,0,0
 36-46,0.81,0,7.25,2.42,12.09,0.81,34.64,13.7,11.28,28.2,2.42,0,5.64,0,0,0.81,0.81,129.71,0,5.64,19.34,55.59,0,0,3.22,0,0,0,0,0,82.18,1.61,30.62,0,0
 48-58,0,0,4.02,0,3.44,0,33.28,8.03,5.74,17.79,0.57,0,3.44,0,0,0,0,113.61,0,6.31,8.03,39.02,0,0,6.89,0,3.44,0.57,0,0,16.07,0.57,13.2,0,0
 60-70,0,0,2.94,0,5.89,0,27.48,8.83,17.67,4.91,0,0,1.96,0,0.98,0,0,173.73,0,6.87,8.83,14.72,0,0,6.87,0,0.98,0,0,0,2.94,7.85,12.76,0,0
 72-82,0,0,7.85,0.98,1.96,3.93,38.28,3.93,24.54,9.82,5.89,0.98,0,0,0,0,0,286.65,0,10.8,8.83,29.45,0,0,13.74,0,2.94,0,0,0,5.89,6.87,17.67,6.87,0
 84-94,0,0,4.25,0,2.12,0,35.05,3.19,7.43,5.31,8.5,0,1.06,1.06,0,0,1.06,191.17,0,19.12,9.56,16.99,0,0,25.49,0,2.12,1.06,0,0,6.37,6.37,25.49,3.19,0
 96-106,0,0,2.19,0,4.37,1.09,36.06,8.74,14.21,13.11,8.74,0,0,1.09,0,3.28,0,204.36,0,5.46,7.65,10.93,0,0,19.67,0,0,1.09,0,0,3.28,5.46,16.39,2.19,1.09
108-118,0,0,2.3,1.53,0.77,0,22.21,6.13,8.43,9.19,3.83,0,0,0.77,0,0.77,0,180,0,6.89,4.6,11.49,0,0,21.45,0,2.3,0,0,0,3.06,3.06,12.26,3.83,0
120,0,0,1.96,0,1.96,0,13.72,1.96,7.84,1.96,5.88,0,0,0,0,1.96,0,141.1,0,9.8,7.84,31.36,0,0,19.6,0,3.92,0,0,0,0,0,1.96,0,0
