stage,axial,blastomeres,eye,fin_epithelia,glial,immune,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,0,0,0,0,0,1,5,0,0,0,2,0,7,0
 24-34,0,0,0,0,9.85,0,0,0,0,0,3.28,0,1.64,0,0,2.46,0.82,16.42,0
 36-46,0,0,0,0.81,4.83,0,0,0,0,0,4.83,0,4.83,0,0.81,4.03,0,14.5,0
 48-58,0,0,2.3,0,6.31,0,0,0,0,0.57,1.72,0,2.3,0.57,0,2.3,0,16.07,0
 60-70,0,0,3.93,0,5.89,0,0,0,0.98,0,6.87,0,3.93,0,0,1.96,0,11.78,0
 72-82,0,0,3.93,0,16.69,0,0,1.96,0,0,7.85,0,1.96,0,0,0.98,0,13.74,0.98
 84-94,0,0,6.37,0,10.62,0,1.06,1.06,0,0,5.31,0,2.12,1.06,0,3.19,0,10.62,1.06
 96-106,0,0,3.28,0,14.21,0,0,1.09,0,0,2.19,0,7.65,2.19,0,3.28,0,12.02,0
108-118,0,0,3.83,0,11.49,0,0,0.77,0,0,2.3,0,7.66,0,0,3.06,0,8.43,0
120,0,0,3.92,0,9.8,1.96,0,1.96,0,0,5.88,1.96,5.88,0,0,0,0,7.84,0
