stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste
  3-4,593.01,1383.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0
  5-6,619.09,999.13,30.65,0,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,202.28,6.13,0,0,67.43,0,0,0,0,0,0,0,0
  7-9,78.86,15.77,136.69,0,0,346.99,0,0,0,0,139.32,0,0,0,0,0,0,0,0,0,268.13,34.17,0,0,115.66,0,0,0,0,0,0,0,0
 10-12,0,12.59,88.12,0,0,733.24,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,1331.17,107,0,0,254.9,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,60,0,27,0,0,1,1,0,0,0,2,0,0,1,11,0,2,275,130,3,4,283,1,0,57,0,5,11,33,0
 24-34,0,0,0,30.37,0,21.34,0,3.28,0,0,0,0,0,0,0,4.1,0,42.68,0.82,1.64,198.65,18.88,4.93,17.24,0,0,0,0,0,9.03,27.91,13.95,0
 36-46,0,0,0,16.92,0,24.17,0.81,5.64,2.42,0,0,1.61,0,0,0,4.83,0,39.48,0.81,5.64,173.22,2.42,1.61,8.86,0,0.81,0,0,0,4.83,0.81,3.22,0
 48-58,0,0,0,12.62,0,35,0,4.02,4.02,0,0,0,0,0,0.57,2.87,0,18.94,0,0.57,87.22,0,1.15,6.89,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,8.83,0,27.48,0,4.91,0.98,0,0,0,0,0,0,6.87,0,31.41,0,0,60.85,0,0,5.89,0,0,0,0,0,3.93,0,2.94,1.96
 72-82,0,0,0,15.71,0,13.74,0,4.91,7.85,0,0,0,0,0,0.98,9.82,0,19.63,0,0.98,66.75,0,0,15.71,0,0,0,0,0,2.94,0,1.96,6.87
 84-94,0,0,0,26.55,0,21.24,2.12,11.68,5.31,0,0,0,0,3.19,0,13.81,0,28.68,0,0,52.04,0,0,30.8,0,0,0,0,0,2.12,0,3.19,37.17
 96-106,1.09,0,0,25.14,1.09,9.84,1.09,4.37,9.84,0,0,1.09,1.09,1.09,0,10.93,0,22.95,0,1.09,48.09,0,0,22.95,0,0,0,0,0,0,0,1.09,46.99
108-118,0.77,0,0,23.74,0,3.83,3.06,2.3,13.79,0,0,0,0,6.13,0,7.66,0.77,18.38,0,0,41.36,1.53,1.53,22.98,0,0,0,0,0.77,3.06,0,3.83,45.19
120,1.96,0,0,19.6,0,13.72,1.96,3.92,9.8,0,0,0,0,3.92,0,9.8,0,11.76,0,0,43.12,0,0,19.6,0,0,0,0,0,3.92,0,3.92,23.52
