stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,8,0,0,0,0,0
 24-34,0,0,0,6.57,0,0,0,0,1.64,0,0.82,0,0.82,0,0,0,0.82,0,0,0,13.95,0,0,0.82,0.82,3.28,10.67,0,0,0.82,0,0.82
 36-46,0,0,0,2.42,0,0.81,0,0,3.22,0,0,0,0,0,0,0,0.81,0.81,0,1.61,8.06,0.81,2.42,0.81,4.03,0,4.03,0,0,0,0,0
 48-58,0,0,0,2.3,0,5.16,1.72,0,1.72,0,0,0.57,0,0,0,0,1.15,0.57,0,1.72,10.33,0,2.87,0.57,0.57,0,2.3,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,5.89,0,0,2.94,0,0,0,0,0.98,0,0,10.8,0,0,0.98,18.65,0,0.98,0,2.94,0,3.93,0.98,0,0.98,0,0
 72-82,0,0,0,7.85,0,7.85,0,0,9.82,5.89,0.98,0,0.98,0,0,2.94,15.71,0,0.98,0.98,22.58,0,5.89,1.96,3.93,0,3.93,0,0.98,1.96,0.98,0.98
 84-94,0,0,0,5.31,0,12.74,1.06,1.06,4.25,14.87,0,1.06,1.06,0,0,2.12,5.31,1.06,0,1.06,6.37,0,2.12,2.12,8.5,1.06,2.12,0,0,0,0,0
 96-106,0,0,2.19,9.84,0,7.65,4.37,1.09,4.37,14.21,0,2.19,2.19,0,0,3.28,10.93,0,1.09,0,17.49,0,5.46,1.09,9.84,3.28,1.09,0,0,2.19,0,0
108-118,0,0,0,12.26,0,8.43,1.53,0,5.36,15.32,0,3.06,1.53,0,2.3,6.13,6.89,1.53,0,0,25.28,0,5.36,2.3,7.66,0.77,2.3,0,0.77,3.06,0,0
120,0,0,0,15.68,1.96,5.88,1.96,0,5.88,19.6,0,3.92,0,0,0,1.96,7.84,0,0,0,17.64,1.96,1.96,0,7.84,0,1.96,1.96,0,0,0,0
