stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,57.83,7.89,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,3.15,22.03,0,0,0,0,0,0,0,0,0,0,84.97,6.29,0,0,40.91,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0,0,0,1,0,1,3,0,0,0
 24-34,0,0,0,0,0,2.46,0.82,0,0,0,0,0,0,0.82,0,0.82,20.52,0,0.82,0,0,0,0,0.82,0,8.21,0,0.82,0
 36-46,0,0,0,0,0,8.06,0,0.81,1.61,0,0,0,0.81,5.64,0,0.81,56.4,0,0.81,0,0,0,0,0,0,12.89,0,0,0
 48-58,0,0,0,0,0,15.49,0,0,5.74,0,0,0,0,8.61,0,0.57,48.2,0,0.57,0,0,0,0,0,0,13.2,0,0,0
 60-70,0,0,0,0.98,0,22.58,0,0,5.89,0.98,0,0,0,10.8,0.98,0.98,44.17,0,2.94,0,0,0,0,0,0,8.83,0,0.98,0
 72-82,0,0,0,0,0,14.72,0,0.98,9.82,0,0,0.98,0,9.82,0,2.94,35.34,0,1.96,0,0,0,0,0,0,2.94,0,0,0
 84-94,0,0,0,1.06,1.06,18.05,0,0,1.06,0,0,0,1.06,7.43,1.06,0,22.3,0,2.12,0,0,1.06,0,0,0,2.12,0,2.12,2.12
 96-106,0,0,0,0,0,7.65,0,1.09,4.37,0,0,0,0,5.46,1.09,1.09,12.02,0,2.19,0,0,3.28,0,0,0,1.09,0,1.09,0
108-118,0,0,0,3.83,0.77,3.06,0,0.77,0.77,0,0,0,0,0.77,0,0,9.19,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,0,0,5.88,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0
