stage,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
 24-34,1.64,0,0,0,0,0,0,0,0,6.57,0,0.82,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,4.83,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,2.3,0,0.57,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,2.94,0,0,0.98,0,0,0
 72-82,0,2.94,0,0,0,0,0,0.98,0.98,0.98,0,0,6.87,0,0,0
 84-94,0,4.25,1.06,0,1.06,0,1.06,1.06,0,3.19,0,0,3.19,0,0,1.06
 96-106,0,19.67,4.37,1.09,0,1.09,1.09,1.09,0,2.19,0,0,14.21,0,0,0
108-118,0.77,47.49,0.77,0,0,0,0,2.3,0,1.53,0.77,0,18.38,1.53,0,0
120,0,11.76,0,0,0,0,0,0,0,1.96,0,0,15.68,0,0,0
