stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,2.63,0,0,0,44.69,0,0,0,2.63,0,0,0,0,0,0,0,0,189.27,2.63,0,0,57.83,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0,0,125.88,0,0,0,40.91,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,21,8,0,27,0,2,2,0,0,0,1,0,0,9,0,7,124,2,0,1,3,1,1,16,1,61,31,0,0,1
 24-34,0,0,3.28,6.57,0.82,0,25.45,0,0.82,0,0,0,0.82,0,0,0.82,13.95,0.82,4.93,110.82,0.82,0,0.82,0,6.57,0,0.82,0,13.13,19.7,0,2.46,0
 36-46,0,0,0,0,0,0,14.5,0.81,3.22,0.81,0,0,0,0,0,0,1.61,0,3.22,40.28,0,1.61,0,0,4.03,0,0,0,0.81,13.7,0,1.61,0.81
 48-58,0,0,0,0.57,0,0,9.18,0,1.72,0.57,0,0,0.57,0.57,0,0.57,1.15,0,1.15,18.36,0,0,0.57,0,0.57,0,0,0,0,5.16,0,0.57,0
 60-70,0,0,0,0,0.98,0,6.87,0,5.89,0,0,0,0,0,0.98,0,3.93,0,0,23.56,0.98,0.98,0.98,0,0.98,0,0,0,0,1.96,0,0.98,0
 72-82,0,0,0,0,0,0,5.89,0.98,5.89,0,0,0,2.94,0,0,0,2.94,0,1.96,25.52,0,0.98,0.98,0,2.94,0,0,0,0,2.94,0,0,0
 84-94,0,0,0,0,0,1.06,3.19,0,1.06,2.12,0,0,0,0,0,1.06,1.06,0,1.06,13.81,0,0,1.06,0,1.06,0,0,0,0,2.12,0,2.12,0
 96-106,0,0,0,2.19,0,0,0,1.09,0,0,0,2.19,1.09,0,0,0,1.09,0,0,4.37,0,2.19,0,0,7.65,0,0,0,0,1.09,0,6.56,0
108-118,0,0,0,7.66,0.77,0,3.83,0,1.53,0.77,0,0,0.77,0.77,0,0,1.53,0,0.77,8.43,0,0,0,0,8.43,0,0,0,0,0,0.77,0.77,0
120,0,0,0,5.88,1.96,0,1.96,1.96,0,0,0,0,1.96,0,0,0,1.96,0,1.96,9.8,0,0,0,0,7.84,0,0,0,0,0,0,0,0
