stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,13.14,0,68.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,0,9.44,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,220.29,9.44,0,0,50.35,0,62.94,3.15,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,64,1,0,7,0,0,0,2,0,0,0,0,3,0,0,0,0,5,7,0,7,52,4,0,0,1,0,1029,6,0,0,8,19,0,0,1,0,0
 24-34,0,0,0,62.39,1.64,0,17.24,0,9.03,0.82,1.64,0,0.82,0.82,0,5.75,0,0.82,0.82,0,12.31,31.19,0,4.1,161.71,2.46,0.82,0.82,0,0,1942.15,0,1.64,2.46,2.46,21.34,0,0,4.93,0,0
 36-46,0,0,0,16.92,0,0,19.34,3.22,33.84,0,4.03,0.81,0,0,0,8.06,0,0,1.61,0,13.7,24.98,0,4.03,96.68,0.81,1.61,0,0,0,2119.72,0,0,0,0,25.78,0,0,0.81,0,0.81
 48-58,0,0,0,22.38,1.72,0,47.05,0,63.69,0.57,12.05,1.72,0.57,0,1.72,4.02,0,0,0.57,0,20.66,19.51,0,4.59,136.57,0.57,0.57,0.57,0,1.15,1736.33,0,0,0,0,28.12,0,0,0,0,2.87
 60-70,0,0,0,38.28,1.96,0,42.21,0,53.98,0,8.83,2.94,0.98,0,0.98,17.67,0,0.98,0,1.96,17.67,14.72,0,3.93,65.76,0.98,0,1.96,0,0,1595.95,0,0,0,0,3.93,1.96,0,0,0,2.94
 72-82,0,0,0,120.74,4.91,0,24.54,0,71.66,0.98,8.83,8.83,0.98,0,0,33.38,0.98,0.98,0,0,22.58,16.69,0.98,0.98,53.99,0.98,0.98,1.96,0,0,1569.68,0,0,0,0,3.93,3.93,0,1.96,1.96,1.96
 84-94,0,0,0,240.02,3.19,0,19.12,0,202.85,0,7.43,21.24,0,1.06,3.19,78.59,2.12,0,1.06,1.06,10.62,36.11,0,5.31,40.36,1.06,0,2.12,0,0,4481.8,0,0,0,0,4.25,15.93,1.06,0,0,1.06
 96-106,0,0,0,338.78,6.56,3.28,45.9,0,250.26,0,7.65,44.81,0,1.09,5.46,121.31,1.09,5.46,3.28,1.09,29.51,54.64,2.19,4.37,106.01,0,0,2.19,0,1.09,4415.1,0,1.09,2.19,0,2.19,9.84,0,6.56,0,2.19
108-118,0,0,0,372.26,0.77,1.53,25.28,0.77,389.88,1.53,12.26,34.47,0,0,2.3,130.21,2.3,1.53,0,0,19.92,73.53,4.6,6.89,88.85,0,0.77,0.77,0,0.77,4525.31,0,0,0,0,3.06,19.92,0.77,2.3,1.53,0.77
120,0,0,0,254.77,3.92,0,11.76,0,252.81,0,5.88,17.64,0,0,0,50.95,1.96,0,3.92,0,5.88,43.12,1.96,5.88,58.79,0,1.96,0,0,0,2492.85,0,0,0,0,0,3.92,0,0,0,0
