stage,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,olfactory,spinal.cord
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0.82,0,19.7,0,0.82,2.46
 36-46,0,0,0,0.81,0,0,0,0,46.73,0.81,1.61,2.42
 48-58,0,0,1.15,0.57,0,0,1.15,0.57,37.3,0,0.57,1.72
 60-70,0,0,0,0.98,0,0,0,0,58.89,0,0,2.94
 72-82,0,0,3.93,2.94,2.94,0,0.98,0,85.4,0,0,1.96
 84-94,0,1.06,4.25,2.12,4.25,0,0,0,52.04,0,0,2.12
 96-106,1.09,0,5.46,0,8.74,0,0,0,50.27,0,1.09,0
108-118,0,0,3.83,1.53,3.06,0,0,0,60.51,0,0,0.77
120,1.96,0,1.96,0,1.96,1.96,0,0,82.31,0,0,0
