stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,75.53,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,6,2,1,0,1,0,2,1,5,0,0,0,0,0,0,0,4,1,0,12,19,21,0,0,0,0,2,45,1,262,289,9,0,0,0,0,0
 24-34,0,9.03,0,10.67,131.34,1.64,1.64,1.64,0.82,0,0,0,1.64,0,0.82,0,0,17.24,0.82,0,22.98,156.78,0.82,0.82,3.28,0,0,8.21,0.82,1.64,128.05,224.09,17.24,0,0,0.82,0,0.82
 36-46,0,1.61,0,16.92,231.23,1.61,0,1.61,2.42,0,2.42,0.81,0,0,0,0.81,0.81,10.47,0,0,16.11,98.29,1.61,0.81,0,0,0.81,4.03,0,1.61,82.98,12.89,24.98,0,0,4.03,0,3.22
 48-58,0.57,2.3,0,18.94,165.26,0,2.3,6.31,0.57,0.57,0.57,1.15,0.57,0,0,0,0,13.2,0,0,8.03,70.58,2.3,1.15,0,0,0,2.87,0,0,41.31,0,18.36,0,0,0.57,0,0.57
 60-70,0.98,2.94,0,16.69,131.52,0.98,3.93,3.93,0,0,0,0,0,0.98,0,1.96,0,22.58,0,1.96,13.74,26.5,4.91,0,0,0.98,0,0.98,0,0.98,19.63,0,4.91,0,0,0.98,0.98,0
 72-82,0,0,0.98,11.78,95.22,1.96,1.96,4.91,0,0,0.98,0,0,0.98,0.98,0,0,25.52,0,0.98,12.76,30.43,1.96,0,1.96,0,0,2.94,0,0,19.63,0,1.96,0,3.93,1.96,4.91,0
 84-94,1.06,2.12,3.19,12.74,178.42,3.19,0,6.37,2.12,0,0,1.06,1.06,2.12,0,0,0,21.24,0,5.31,15.93,18.05,2.12,0,1.06,0,1.06,5.31,0,0,36.11,0,4.25,0,3.19,2.12,3.19,1.06
 96-106,0,7.65,5.46,46.99,452.44,1.09,1.09,9.84,6.56,0,1.09,3.28,2.19,1.09,2.19,1.09,0,45.9,1.09,1.09,25.14,48.09,3.28,3.28,2.19,1.09,4.37,10.93,0,1.09,50.27,0,2.19,1.09,3.28,3.28,7.65,1.09
108-118,1.53,4.6,2.3,25.28,305.62,0.77,2.3,5.36,5.36,0,0,0.77,0.77,0,0.77,3.06,0,21.45,0,3.83,26.04,40.6,8.43,0,0,0,3.83,8.43,0,0,29.11,0,3.06,0.77,2.3,2.3,4.6,0
120,0,1.96,0,9.8,162.66,0,1.96,1.96,1.96,0,0,0,0,0,0,0,0,7.84,0,5.88,29.4,25.48,13.72,0,0,0,3.92,1.96,0,0,13.72,0,0,0,1.96,0,5.88,0
