stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,2.63,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,2.46,3.28,0,0,0.82,0,3.28,0,9.03,0,0,10.67,0,0.82,0,0
 36-46,0,1.61,0,0,1.61,0,0,0.81,0,0,0,0,1.61,8.06,0,0.81,0,0,13.7,0,9.67,0,0,82.18,0,0,0,0
 48-58,0,1.72,0,0,1.15,0,0,0,0.57,0,0,0,1.15,10.9,0,0.57,4.02,0,12.62,0,6.89,0.57,0,164.11,0,4.59,0,0
 60-70,0,8.83,0,0,3.93,0,2.94,0,0.98,0,0,0,3.93,20.61,0,1.96,6.87,0,16.69,0,11.78,0,0,299.36,0,2.94,0.98,0
 72-82,0,16.69,0.98,0,3.93,0,3.93,0.98,1.96,1.96,0.98,0.98,12.76,29.45,0,1.96,11.78,0,13.74,0,13.74,2.94,0,322.97,0,0.98,0.98,0.98
 84-94,0,30.8,0,0,3.19,0,5.31,0,2.12,0,0,1.06,21.24,48.85,1.06,2.12,22.3,0,13.81,0,38.23,2.12,0,819.89,0,0,2.12,0
 96-106,0,53.55,2.19,1.09,5.46,1.09,7.65,0,2.19,5.46,0,1.09,26.23,64.48,2.19,2.19,29.51,1.09,25.14,0,62.29,1.09,0,876.46,1.09,1.09,6.56,0
108-118,0,49.02,0.77,0.77,2.3,0.77,13.02,0,1.53,3.83,0,1.53,20.68,53.62,0,0.77,13.02,0,6.13,0,24.51,2.3,0,655.66,0,0,6.13,1.53
120,0,56.83,0,0,1.96,0,7.84,0,1.96,3.92,0,1.96,19.6,41.16,1.96,3.92,19.6,0,7.84,0,15.68,1.96,0,609.49,0,0,5.88,0
