stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,26.36,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,1,0,0,0,0,0,1,12,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0.82,60.74,0,0.82,0.82,0,0,0,0,14.78,0,0.82,0
 36-46,0,0,0.81,0,4.03,0,4.83,0,0,0,0,0,0,0.81,0,0,0.81,62.04,0,2.42,0,0,0,2.42,0,24.17,0,0,0
 48-58,0,0,0.57,0.57,17.79,0.57,13.2,0,0,0,0,0,0.57,3.44,0,0,0,82.05,0,0.57,1.15,0,0,0,0,21.23,0,0.57,0
 60-70,0,0,0,0,27.48,0,14.72,0,0,0,0.98,0,0,4.91,0,0,1.96,137.41,0,0,0,0,0,0,0,13.74,0,0.98,0
 72-82,0,0,0,0,37.3,0,10.8,0,0,0,0,0.98,0,9.82,0.98,1.96,0,145.29,0,2.94,0,0,0,0,0,9.82,0,0,0.98
 84-94,0,0,1.06,1.06,16.99,0,6.37,0,0,1.06,0,1.06,0,2.12,1.06,1.06,0,72.22,0,2.12,0,0,0,0,0,7.43,0,0,0
 96-106,0,0,0,0,25.14,0,5.46,0,0,0,0,0,0,4.37,1.09,0,1.09,71.04,0,1.09,0,0,1.09,1.09,0,4.37,0,0,0
108-118,0,0,0,1.53,20.68,0,13.02,1.53,0,0,0,0,0,3.06,0,0,0,63.57,0,0.77,0,0,0,0.77,0,2.3,0.77,0,0.77
120,0,0,0,0,15.68,0,13.72,1.96,0,0,0,0,0,3.92,0,0,1.96,80.35,0,1.96,0,0,0,0,0,3.92,0,0,0
