stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,263.56,5745.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.09,0,0,0,0,0,0,0,0,0
  5-6,128.72,1477.24,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,42.91,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,60.46,5.26,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,9.44,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,7,3,0,0,0,0,1,0,3,0,1,0,0,7,0,0,7,12,2,0,0,1,2,2,0,12,8,2,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,1.64,0,0.82,0,1.64,0,0,10.67,0,0,8.21,7.39,0,0,0,0,0,0,0,1.64,0,1.64,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0.81,0,0,0,0,4.83,0,0.81,1.61,4.83,0.81,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,1.15,0,0,0.57,0,0,0,0.57,2.87,0,2.3,2.3,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,4.91,0,0,0,0.98,0,0,0,2.94,0,0,0,0,0,0,2.94,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,4.91,0,0,0,2.94,0,0,0.98,23.56,0,0,0,0,0,0,2.94,0,0,1.96,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,7.43,0,0,0,1.06,1.06,0,0,84.96,0,1.06,1.06,1.06,0,2.12,6.37,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,10.93,0,0,0,4.37,0,0,2.19,180.32,0,0,0,0,0,1.09,7.65,0,0,2.19,20.76,0,1.09,0,1.09,0,0,0,0,0,1.09,0,0,1.09
108-118,0,0,6.89,0.77,1.53,0.77,1.53,0,0,1.53,182.3,0,0,0,0,1.53,4.6,5.36,0.77,0,0,18.38,0,0,0,0.77,0,0,0,0,0,0,1.53,0,1.53
120,0,0,5.88,0,0,3.92,0,0,0,1.96,90.15,0,0,0,0,0,3.92,3.92,0,0,0,15.68,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96
