stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,6,299,2,0,1,0,0,1,0,159,0,0,0,0,0
 24-34,0.82,2.46,0,10.67,0,0,0,21.34,0,0,0,0,0,0,0,0.82,0.82,0,0,0.82,683.77,0,3.28,0,0,0,0,1.64,218.35,0,0,1.64,0,0
 36-46,0.81,0,0,27.39,0,0,0,71.7,0,0,0,0,0,0,0.81,0,1.61,0.81,0,0,941.02,0.81,7.25,0.81,0,2.42,0,0,319.05,0,0,0.81,0,0
 48-58,0,1.72,0,75.17,0,0,0.57,130.25,0,0,0,0,1.15,0,0.57,0.57,5.74,0,0,0.57,768.32,0.57,1.72,0,0,0,0,0,258.21,0,0,0,0,0.57
 60-70,0,2.94,0.98,224.77,0,0,0,156.06,0,0,0,0,0,0,0.98,0,7.85,0,0.98,0.98,908.89,0,0,0.98,0,0.98,0,0,174.71,0,0.98,1.96,0,0.98
 72-82,2.94,1.96,0,258.18,0,0,0,160.99,0.98,0.98,0,0.98,0,0,0,0,8.83,0,0,0.98,682.25,0,2.94,0,0,0.98,0,0,62.83,0.98,0,1.96,0,0.98
 84-94,0,4.25,2.12,133.82,0,0,2.12,96.65,0,0,1.06,0,0,1.06,0,0,8.5,0,1.06,1.06,307.99,0,1.06,0,0,2.12,0,0,35.05,1.06,0,1.06,1.06,0
 96-106,0,2.19,2.19,97.26,0,1.09,0,68.85,2.19,0,0,0,0,0,0,0,4.37,0,0,1.09,241.52,0,2.19,0,1.09,1.09,0,0,9.84,0,0,0,0,1.09
108-118,0.77,3.06,0.77,76.6,0.77,0,0,64.34,0,0,0,0,0,0,0,0,3.83,0,0,0,270.38,0,1.53,0.77,0,1.53,0,0,9.19,0,0,0,0,0
120,1.96,0,0,96.03,1.96,1.96,0,101.91,1.96,0,0,0,0,0,0,0,3.92,0,0,0,356.68,0,3.92,0,0,0,0,0,13.72,0,0,1.96,0,0
