stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,56.65,0,0,0,3.15,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,3,4,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,32,0,0,0,0,0,0,2,14,0,1,33,15,0,0,1,0,0
 24-34,0,0.82,0.82,10.67,0,0,56.64,0.82,1.64,0,2.46,0,0,3.28,0,1.64,0,0.82,0,0.82,8.21,0,0,5.75,135.44,0.82,4.1,3.28,0,0.82,4.93,0.82,0,0,1.64,3.28,50.89,0,0,15.6,0,1.64
 36-46,0,0,0,4.03,0,0,207.86,2.42,1.61,0,8.06,0,0,2.42,0,0.81,0,2.42,0,0.81,9.67,0,0,7.25,142.6,4.03,1.61,0.81,0,0.81,8.86,1.61,0,0,0.81,0,46.73,0,0,11.28,0,1.61
 48-58,0,0,0,5.16,0,0,216.9,1.15,0.57,0.57,17.21,0,0,6.31,0,1.15,0.57,0.57,0.57,0,22.95,1.15,2.3,8.03,96.97,2.3,0,1.72,0,0,5.16,0,0,0.57,1.15,0,40.17,0,0.57,16.07,0,1.15
 60-70,0,0,0,7.85,0,0,190.42,1.96,2.94,0,27.48,0,0,6.87,0,0,0,0,0,0,28.46,0,2.94,3.93,94.23,2.94,0,1.96,0,1.96,5.89,0.98,0,0.98,0.98,0,21.59,0,0.98,22.58,0.98,0
 72-82,0,0.98,0,7.85,1.96,0,154.12,1.96,0,1.96,44.17,0,0,4.91,0,2.94,0,1.96,0.98,0,65.77,0,12.76,4.91,122.71,2.94,0.98,7.85,0,0.98,6.87,0,0,0,0,0,12.76,0,8.83,63.81,2.94,0
 84-94,0,0,0,10.62,0,0,117.89,1.06,0,3.19,24.43,1.06,0,7.43,0,2.12,0,0,0,3.19,38.23,2.12,6.37,5.31,67.97,2.12,0,6.37,0,2.12,10.62,0,0,1.06,0,0,8.5,0,2.12,43.54,4.25,0
 96-106,0,0,0,5.46,1.09,0,120.21,5.46,1.09,1.09,25.14,3.28,0,1.09,1.09,1.09,2.19,5.46,1.09,1.09,51.36,1.09,15.3,2.19,56.83,4.37,3.28,10.93,0,1.09,14.21,0,0,1.09,0,0,3.28,0,4.37,68.85,2.19,1.09
108-118,0,0,0,3.83,0,1.53,97.28,2.3,3.83,0.77,27.57,0.77,0,4.6,1.53,2.3,0,2.3,1.53,0.77,32.94,2.3,12.26,4.6,70.47,0,0,13.02,0,1.53,9.96,0,0,1.53,0,0,3.83,0.77,5.36,40.6,2.3,0.77
120,0,0,0,21.56,1.96,0,109.75,5.88,1.96,1.96,35.28,5.88,0,3.92,0,0,0,3.92,1.96,0,35.28,1.96,7.84,7.84,113.67,5.88,0,19.6,0,9.8,9.8,0,1.96,1.96,0,0,11.76,0,0,48.99,3.92,0
