stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,30.65,527.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,7.89,0,23.66,0,0,0,52.57,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,425.85,5.26,0,0,92,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,53.5,0,0,0,25.18,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,339.87,0,0,0,40.91,0,0,0,12.59,0,0,0,0
 14-21,0,0,0,7,92,2,0,3,0,0,2,3,0,0,0,4,0,0,0,3,0,0,3,28,0,1,4,0,0,7,4,1,7,10,0,0
 24-34,0,0,0.82,3.28,47.61,0.82,0,2.46,1.64,0,0.82,5.75,0,0,0,4.1,0,4.93,2.46,9.03,0,0,1.64,36.94,0,1.64,18.88,0,0,18.88,0,0.82,0,11.49,0,0.82
 36-46,0,0,0,0,12.09,0,0,2.42,0.81,0,1.61,0.81,0,0,0,0,0.81,1.61,0,2.42,0,0,0,12.09,0,1.61,4.83,0,0,14.5,0,0,0,4.03,0,0
 48-58,0,0,0,1.15,16.07,0,0,3.44,4.02,0.57,1.15,1.72,0,0.57,0,0,0,1.72,0.57,2.87,0,0.57,0.57,8.61,0,2.3,11.48,0,0,5.74,0,0.57,0,1.72,0,0
 60-70,0,0,0,0,18.65,0,0,0.98,4.91,0.98,0,3.93,0,0,0,0.98,0,0,0,6.87,0,0.98,0,7.85,0,1.96,4.91,0,0,6.87,0,0,0,1.96,0,0
 72-82,0,0,0.98,0,25.52,0,0,0.98,1.96,0.98,0.98,1.96,0,0.98,0.98,1.96,0,4.91,0,8.83,1.96,0,3.93,12.76,0,2.94,10.8,0,0,8.83,0,0,0,0,0,0
 84-94,0,0,0,0,35.05,0,0,0,3.19,0,5.31,8.5,0,0,0,3.19,0,7.43,0,6.37,1.06,0,0,5.31,1.06,3.19,21.24,0,1.06,15.93,0,1.06,0,0,1.06,0
 96-106,0,0,2.19,0,40.44,0,1.09,1.09,5.46,0,3.28,9.84,0,0,2.19,0,0,8.74,0,2.19,2.19,0,0,4.37,0,4.37,30.6,0,0,25.14,0,0,0,0,2.19,0
108-118,0,0,1.53,0,44.43,0,1.53,3.06,9.96,0,2.3,6.13,0,0,0,2.3,0,11.49,0.77,5.36,0.77,0,0,6.89,0,6.13,28.34,0,0,11.49,0,3.83,0,0,2.3,2.3
120,0,0,0,0,33.32,0,1.96,1.96,3.92,0,1.96,7.84,0,0,0,0,0,1.96,1.96,1.96,0,0,0,1.96,0,3.92,15.68,0,0,15.68,0,5.88,0,0,1.96,0
