stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,6.13,349.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,49.04,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,21.03,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,2,1,0,0,0,0,0,1,0,2,0,0,6,0,0,0,1,2,0,4,21,2,0,1,2,0,22,3,1,4,0,0,0,0,0
 24-34,0,0,3.28,1.64,0,0,0,4.93,0,0.82,0,0.82,0.82,3.28,3.28,0,41.04,0,1.64,0.82,3.28,5.75,0,3.28,18.88,0,0,4.93,0,0,29.55,0,23.8,3.28,0,0,0,0,0
 36-46,0,0,4.83,0,2.42,0,0,5.64,0,0.81,0,0.81,1.61,10.47,1.61,0,20.95,0,0.81,1.61,3.22,1.61,0,0.81,22.56,0,1.61,0.81,0,0,10.47,0,20.14,8.86,0,0,0,0,0
 48-58,0,0,2.3,0,0.57,0,0,13.2,0,0,0.57,2.87,4.59,25.25,3.44,0.57,9.75,0,2.3,2.87,8.03,0.57,0,1.15,35,0,1.15,3.44,0,0,13.77,0,16.07,4.02,0,0,0,0,0.57
 60-70,0,0,4.91,0,1.96,0,0,24.54,0,0.98,0,0.98,21.59,13.74,0.98,1.96,7.85,0,4.91,1.96,7.85,3.93,0,0,31.41,0,0.98,5.89,0,0,42.21,0,17.67,1.96,1.96,0,0.98,0,0
 72-82,0,0,24.54,0,5.89,0,0.98,28.47,0,0,0.98,5.89,156.08,7.85,0.98,1.96,13.74,0,9.82,25.52,14.72,0,0,0.98,47.12,0.98,1.96,16.69,0,0.98,63.81,0,29.45,0.98,3.93,0,1.96,1.96,0
 84-94,0,0,18.05,1.06,7.43,0,0,19.12,0,5.31,0,1.06,255.95,5.31,0,5.31,8.5,0,4.25,23.36,4.25,0,0,0,21.24,1.06,0,12.74,0,0,170.99,0,46.73,1.06,1.06,0,0,0,0
 96-106,0,0,33.88,7.65,21.86,3.28,0,28.41,2.19,1.09,0,5.46,464.46,1.09,1.09,0,38.25,0,16.39,52.46,16.39,4.37,1.09,1.09,75.41,0,0,26.23,0,0,234.96,0,46.99,1.09,1.09,0,1.09,0,3.28
108-118,0,0,19.92,8.43,23.74,3.06,0,9.96,0,4.6,0,4.6,435.07,0,1.53,6.13,12.26,1.53,13.02,65.87,14.55,5.36,0.77,0.77,62.81,0.77,1.53,13.02,0,0,227.49,0,53.62,0.77,6.89,0.77,2.3,0,0
120,0,0,5.88,1.96,17.64,1.96,0,5.88,0,7.84,0,5.88,274.37,0,1.96,5.88,9.8,0,3.92,54.87,3.92,3.92,1.96,0,68.59,0,0,13.72,0,0,201.86,0,35.28,1.96,3.92,1.96,1.96,0,0
