stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,130,0,0,0,0,0
 24-34,1.64,0,0,3.28,69.77,0,0,0,0,0.82,0,0,0,0,0,3.28,0,13.95,31.19,1.64,0.82,0,1.64,0,9.85,118.2,7.39,0,0,0,0
 36-46,0.81,0,0,1.61,126.49,0,0,1.61,0,0,0,0,0,0,0,1.61,0,9.67,28.2,0,0,0,2.42,0,6.45,7.25,6.45,0,0.81,0,0
 48-58,1.15,0,0,11.48,127.38,0.57,0,4.59,0,0.57,0,0,0,0,0.57,5.74,0,11.48,35,0.57,0,0.57,0.57,0,9.75,0,11.48,0,0.57,0,1.15
 60-70,0.98,0,0,6.87,67.73,0,0,4.91,0,0,0,0,0.98,0,0,3.93,1.96,10.8,27.48,0,0.98,0,0,0,11.78,0,4.91,0,0,0,0
 72-82,1.96,0,0,8.83,47.12,0,0,3.93,0,0.98,0.98,0,0,0.98,0,3.93,0,11.78,12.76,0,1.96,0,0,0,0.98,0,2.94,0,0,0,0
 84-94,0,1.06,0,10.62,54.16,0,0,3.19,0,0,0,1.06,0,1.06,0,7.43,0,9.56,8.5,1.06,0,0,3.19,0,5.31,0,0,1.06,0,1.06,0
 96-106,2.19,3.28,1.09,9.84,108.19,0,0,7.65,0,0,2.19,0,1.09,1.09,0,14.21,0,10.93,16.39,0,0,0,7.65,1.09,1.09,0,2.19,0,2.19,1.09,1.09
108-118,3.06,0.77,0,2.3,93.45,1.53,1.53,3.06,1.53,0,1.53,1.53,0,1.53,0,7.66,0,16.85,9.19,0,0,0,2.3,0,8.43,0,3.06,0,0,0,0
120,1.96,1.96,0,5.88,72.51,0,0,1.96,0,0,1.96,0,0,0,0,9.8,0,21.56,7.84,0,0,0,3.92,0,0,0,1.96,0,0,0,0
