stage,blastomeres,epidermis,eye,fast.muscle,glial,melanocytes,mesenchyme,muscle,neural,notochord,periderm,somites,spinal.cord,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,2,0,2,1,0,0
 24-34,0,0,0,0,0,0,0,0.82,2.46,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0.81,0,0,0
 48-58,0,0,2.87,0,0,0,0,0,1.15,0,0.57,0,1.15,0
 60-70,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0,0,0
 72-82,0,0,1.96,0.98,0,0,0,0,3.93,0,0.98,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0.77
120,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0
