stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,7.89,0,0,65.72,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,100.7,0,0,786.74,0,0,6.29,3.15,0,31.47,0,0,0,0,0
 14-21,0,0,1,0,399,0,0,0,25,0,1,0,1,5,0,0,0,0,0,0,43,5,0,18,20,176,0,0,37,0,2,516,0,31,510,24,0,0,0,0
 24-34,0,0,0,0,447.37,0.82,1.64,0,128.87,0.82,0.82,0,0,24.63,0,0,0,0,0,0,45.97,3.28,0,17.24,35.3,24.63,1.64,0.82,0,0,0,0,0,0.82,39.4,13.13,0,0,1.64,0
 36-46,0,0,0,0,163.55,0,4.03,0,100.71,4.83,0.81,0,0,20.14,0,0,0,0,0,0,79.76,0.81,3.22,24.17,18.53,11.28,2.42,6.45,0,0,0,0,0,0.81,1.61,12.89,0,0,0,0
 48-58,0,0,0,0,161.24,0,7.46,0.57,116.48,6.31,2.3,0,0,20.66,0,1.15,0,0.57,0.57,0,127.38,2.87,1.15,44.18,26.4,5.74,4.02,18.94,0,0.57,0,0,0,0,0.57,26.97,0,0,1.15,0
 60-70,0,0,0,0.98,162.93,0,5.89,0,82.45,5.89,3.93,1.96,0,9.82,1.96,10.8,0,0,0,0,220.84,0.98,1.96,27.48,13.74,2.94,2.94,20.61,0,2.94,0.98,0,0,0,0,10.8,0.98,1.96,0,1.96
 72-82,0,0,0,1.96,182.59,0,25.52,5.89,53.01,4.91,1.96,0.98,0,6.87,1.96,17.67,0,0,0,0,294.5,2.94,3.93,52.03,18.65,3.93,10.8,22.58,0,0,0,0,0,0,0,9.82,3.93,4.91,0.98,0.98
 84-94,0,0,0,1.06,409.95,0,19.12,2.12,152.93,3.19,0,4.25,0,6.37,3.19,31.86,1.06,0,0,0,249.58,3.19,0,35.05,13.81,0,12.74,37.17,0,2.12,1.06,0,0,0,0,12.74,13.81,5.31,0,3.19
 96-106,0,0,1.09,0,352.99,0,17.49,1.09,77.59,1.09,2.19,10.93,0,7.65,2.19,28.41,1.09,2.19,1.09,1.09,210.92,7.65,0,24.04,26.23,0,16.39,43.71,0,1.09,3.28,0,0,0,0,9.84,5.46,3.28,1.09,2.19
108-118,0.77,0,0,3.06,324,2.3,5.36,0,121.79,0.77,2.3,12.26,0,2.3,0,31.4,0,0,0.77,0,225.19,1.53,0.77,22.98,30.64,1.53,14.55,44.43,0,0,4.6,0,1.53,0,0,7.66,6.89,4.6,0,2.3
120,1.96,0,0,0,190.1,0,7.84,1.96,66.63,0,0,5.88,0,0,7.84,19.6,0,0,0,0,150.9,1.96,0,19.6,21.56,1.96,5.88,43.12,0,0,0,0,0,0,0,3.92,3.92,1.96,0,0
