stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,20,188,47,0,132,0,0,31,8,2,3,0,6,0,1,2,1,80,1,0,59,1286,26,7,16,25,0,77,2,109,18,3,94,352,0,5,0,1
 24-34,0.82,2.46,39.4,1.64,0,304.54,3.28,0,31.19,0.82,0,0,4.1,3.28,2.46,1.64,1.64,0,134.62,0.82,1.64,45.97,1740.21,1.64,13.13,16.42,0,0,33.66,0,1.64,0.82,0.82,5.75,351.33,0,24.63,0,0
 36-46,0,0,13.7,2.42,0,533.35,0.81,0,24.98,0,0,1.61,1.61,0,1.61,0.81,0,0,93.46,0.81,1.61,24.98,1036.9,0.81,6.45,1.61,0,0,13.7,0,0.81,0,0,0,236.06,0,9.67,0,0
 48-58,0,1.15,13.77,0.57,0,620.28,0,0.57,37.87,0.57,0,0.57,0.57,1.15,0.57,1.15,0.57,0,113.61,0.57,6.89,17.79,635.2,1.15,4.02,3.44,0,0,2.87,0,0,0,0,0,111.89,0,5.74,0,0.57
 60-70,0,0,12.76,0,0,411.26,0,1.96,29.45,1.96,0,0,1.96,0.98,0,2.94,0.98,0,74.6,0,3.93,8.83,339.61,0.98,1.96,0,0,0.98,4.91,0,0,0,0,0,39.26,0,3.93,0,0
 72-82,0,0,19.63,0,0,160.99,0,0.98,33.38,1.96,0,0.98,0.98,1.96,0.98,1.96,0,0,59.88,0,3.93,8.83,222.84,0,0.98,1.96,0,0.98,1.96,0,0,0,0,0,8.83,0,2.94,1.96,0.98
 84-94,0,0,16.99,1.06,1.06,128.51,1.06,0,25.49,12.74,0,1.06,3.19,3.19,0,0,0,0,76.47,0,6.37,8.5,155.06,1.06,4.25,3.19,0,0,2.12,0,0,0,0,0,6.37,1.06,13.81,0,0
 96-106,0,0,13.11,0,0,80.87,1.09,1.09,28.41,3.28,0,0,1.09,0,0,1.09,0,0,30.6,2.19,0,2.19,175.95,0,5.46,5.46,0,0,2.19,0,0,0,0,0,2.19,0,6.56,0,0
108-118,0,0,9.19,2.3,0.77,75.06,0.77,0.77,22.98,5.36,0,0,6.13,1.53,0,0.77,2.3,0,15.32,0,2.3,6.13,187.66,1.53,0.77,0.77,0,0,5.36,0,0,0.77,0,0,1.53,0.77,3.83,0,0
120,0,1.96,17.64,7.84,0,125.43,0,0,21.56,3.92,0,0,7.84,1.96,3.92,0,0,0,17.64,0,1.96,11.76,186.18,0,1.96,1.96,0,0,7.84,0,0,0,0,0,0,0,5.88,0,0
