stage,axial,blastomeres,endoderm,eye,fast.muscle,glial,gut,hatching.gland,immune,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,5.26,0,0,42.06,0,0,23.66,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,22.03,0,0,25.18,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,1,3,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,5.75,3.28,0.82,0,0,0.82,5.75,0
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,13.7,0,0,0,0,0,1.61,0
 48-58,0,0,0,1.72,0.57,0,0,0,0,0.57,13.2,0,0.57,0,0,0,2.87,0
 60-70,0,0,0,6.87,0,0,0,0,0,0,16.69,0,0,0,1.96,0,1.96,0
 72-82,0,0,0,5.89,0,0,0,0,0.98,0.98,10.8,0,0,0,0,0,0,0.98
 84-94,0,0,0,2.12,0,0,1.06,0,0,1.06,5.31,0,0,0,0,0,0,0
 96-106,0,0,0,4.37,0,0,0,0,2.19,1.09,2.19,0,1.09,0,0,0,0,1.09
108-118,0,0,0,2.3,0,0.77,0,0,0.77,0.77,3.83,0,0,0,0,0,0,0.77
120,0,0,0,3.92,0,0,0,0,3.92,0,5.88,0,0,0,0,0,0,0
