stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,1,0,8,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,7,40,0,0,0,0,0,1,0,0,249,108,12,0,0,0,0,0
 24-34,0,0,1.64,0.82,0,25.45,30.37,0,0,0.82,0,7.39,0,0,0,0,0,0,7.39,0.82,0,22.16,186.33,0.82,2.46,1.64,0,0,0.82,0,0,94.4,32.83,33.66,0,0,4.93,0,0
 36-46,0,0,0.81,0,0,15.31,64.45,0,0,3.22,0,3.22,0,0,0,0,0,0,5.64,0,0.81,7.25,421.37,2.42,0.81,3.22,0,0,1.61,0,2.42,76.54,2.42,65.26,0,0,0.81,0,0.81
 48-58,0,0,3.44,0,0,64.84,53.36,0,0.57,9.75,0.57,2.87,0.57,0,0,0,0.57,0,16.64,0.57,0,11.48,644.96,1.72,0.57,1.15,0,0,0.57,0,0,72.3,0,123.94,0,0.57,0.57,0,1.72
 60-70,0,0,6.87,0.98,0,132.51,66.74,0.98,0.98,13.74,0,1.96,0,0,0.98,0,0,0,15.7,0.98,1.96,5.89,885.33,0,0,0.98,0.98,0.98,1.96,0,0,53.98,0,157.04,0,2.94,0,4.91,0.98
 72-82,0,0,9.82,4.91,0,189.46,73.62,0.98,0.98,30.43,1.96,3.93,0,0,0,0.98,0.98,0,28.47,0.98,1.96,13.74,946.32,0.98,4.91,3.93,0,0.98,0,0,0,25.52,0,120.74,0.98,2.94,0.98,9.82,1.96
 84-94,0,2.12,9.56,5.31,0,137,76.47,0,0,20.18,2.12,1.06,0,1.06,2.12,0,1.06,0,10.62,0,4.25,16.99,483.23,0,2.12,3.19,0,1.06,6.37,0,1.06,40.36,0,56.29,1.06,4.25,1.06,14.87,0
 96-106,0,0,12.02,5.46,0,124.58,127.86,1.09,0,26.23,3.28,1.09,2.19,1.09,1.09,0,4.37,1.09,24.04,1.09,4.37,13.11,425.12,0,0,0,0,4.37,6.56,0,2.19,50.27,0,41.53,1.09,7.65,3.28,15.3,0
108-118,0,0,8.43,1.53,1.53,79.66,109.53,0.77,0.77,17.62,15.32,3.06,0.77,2.3,0,0,2.3,0,11.49,0.77,2.3,20.68,465.71,2.3,1.53,0.77,0,2.3,1.53,0,1.53,42.89,0,32.94,3.06,6.89,0,13.02,0.77
120,0,0,11.76,1.96,0,78.39,76.43,0,0,19.6,0,3.92,1.96,0,0,3.92,0,0,15.68,0,1.96,15.68,472.31,0,0,1.96,0,0,3.92,1.96,1.96,23.52,0,31.36,1.96,1.96,3.92,13.72,0
