stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,23.66,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,6.29,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,3,0,0,3,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,4.93,0,0,0,0,1.64,0,2.46,0,0,0,0,1.64,1.64,0,0,0.82,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0.81,0.81,0,0,0,2.42,0,0,0,0.81,0,0,0,2.42,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,2.87,6.31,0,0,0,2.87,0,0,0,2.3,1.15,0,0,5.16,0,0,0,0,0,0,0,1.15,0,0,1.72,0,0
 60-70,0,0,0,0,0.98,0,0,13.74,4.91,0,0,0,0,0,0,0,0,1.96,0,0.98,3.93,0,0.98,0,1.96,0,0,0,0,0,1.96,5.89,0,0
 72-82,0,0,0.98,0.98,1.96,0,2.94,2.94,11.78,0,15.71,0,0,0,0,0,0,29.45,1.96,1.96,14.72,0,0,0,0,0.98,0,0,0,0,0.98,3.93,3.93,0
 84-94,0,0,1.06,0,1.06,0,2.12,13.81,6.37,0,18.05,0,0,0,0,0,2.12,10.62,1.06,1.06,8.5,0,0,0,1.06,1.06,0,1.06,0,1.06,0,0,1.06,0
 96-106,0,0,0,2.19,4.37,0,6.56,18.58,2.19,2.19,53.55,0,0,0,0,1.09,2.19,24.04,1.09,0,20.76,0,2.19,0,3.28,14.21,1.09,0,0,0,0,8.74,4.37,0
108-118,0,0,0,3.83,1.53,0.77,6.89,26.81,3.06,0,62.04,0,0,0.77,0.77,3.06,3.83,25.28,0,0.77,20.68,0,0.77,0,1.53,3.06,0,0,1.53,0,0.77,3.83,0.77,0.77
120,0,0,0,1.96,0,0,3.92,13.72,3.92,0,48.99,0,1.96,0,0,1.96,1.96,23.52,1.96,1.96,23.52,0,0,0,0,9.8,0,0,1.96,0,1.96,5.88,1.96,0
