stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,hatching.gland,immune,liver,mesenchyme,neural,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,79.69,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,16.42,0,2.46,0.82,0.82,0.82,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,22.56,0,0,3.22,0,0,0,0,3.22,0
 48-58,0,0,0,0,0,0,0.57,0,34.43,0,0,1.72,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,2.94,0,0,61.84,0,0,3.93,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0.98,0,0,103.07,0,1.96,1.96,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,0,0,0,0,121.07,0,0,1.06,0,0,0,0,1.06,1.06
 96-106,0,0,2.19,1.09,0,1.09,0,0,131.14,1.09,1.09,1.09,1.09,0,1.09,0,2.19,0
108-118,0,0,0,0,0.77,2.3,1.53,0,124.09,0,1.53,5.36,0,0,0,0,3.06,0
120,0,0,1.96,1.96,0,0,0,0,115.63,0,1.96,0,0,0,0,0,5.88,0
