stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,18,0,0,0,0,0,1,0,0,2,9,0,0,0,0
 24-34,0,0.82,0,1.64,0,5.75,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0.82,0.82,0,0,78.8,0,2.46,1.64,0,0,0,0,0,0.82,26.27,0,2.46,0,0
 36-46,0,0,0,0,0,6.45,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,82.18,0,2.42,0,0,2.42,0,0.81,0,0,24.98,0,0,0,0
 48-58,0,0,0,0,0,24.67,0,0,0,5.74,0,0,0.57,0,0,0,0,0,0.57,1.72,0,1.15,105.58,0,4.59,0.57,0,1.15,0,0,0.57,0,16.07,0,1.15,0,0
 60-70,0,0.98,0,0,0,75.58,0,0,0,12.76,0,0.98,0.98,0,0,0,0,0,0,3.93,0,1.96,132.51,0,1.96,0,0,0,0,0.98,0,0,22.58,0,0,0,0
 72-82,0,0,0,1.96,0,169.83,0,0,0.98,22.58,1.96,0,0,0,0,0,0,1.96,0,6.87,0,0.98,189.46,0,3.93,0,0.98,0.98,0,0,0,0,23.56,1.96,0.98,0.98,0.98
 84-94,0,2.12,0,0,0,138.06,0,0,0,19.12,1.06,0,0,0,0,2.12,0,0,0,8.5,0,0,99.83,0,3.19,1.06,0,10.62,0,0,0,0,9.56,0,3.19,2.12,0
 96-106,0,1.09,0,2.19,1.09,160.65,0,1.09,0,39.34,0,0,1.09,0,0,2.19,0,0,0,6.56,0,0,132.23,0,1.09,1.09,1.09,2.19,0,0,0,0,2.19,2.19,4.37,1.09,0
108-118,0,1.53,0,3.06,0.77,183.07,0,0,0,26.81,2.3,0,0,1.53,0,5.36,0,3.06,0,7.66,0.77,0,116.43,0.77,6.89,1.53,0.77,4.6,0,0,0,0,4.6,1.53,3.06,0,0
120,0,0,0,7.84,0,119.55,1.96,0,0,25.48,5.88,0,1.96,0,1.96,1.96,3.92,3.92,0,9.8,0,0,195.98,0,3.92,3.92,1.96,0,0,0,0,0,0,0,3.92,1.96,0
