stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,1,11,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,16.42,0,0.82,0,0,0,7.39,0,0
 36-46,0,0,2.42,0,0,10.47,0,0,0,0,4.83,0,0,41.89,0,0,0,0.81,0,18.53,0,0
 48-58,0,0,10.33,0,0,6.89,0,0,1.72,0,4.02,0,0,24.1,0,5.16,0,0,0,10.9,0,0
 60-70,0,0,21.59,0,0,10.8,0,0,5.89,0,22.58,0.98,0.98,33.37,0,7.85,0,0,0,9.82,0,1.96
 72-82,0,0.98,9.82,0,0,17.67,0,0,6.87,0,16.69,1.96,0,30.43,0.98,17.67,0.98,0,0,1.96,1.96,7.85
 84-94,0,0,10.62,0,0,7.43,1.06,0,10.62,0,10.62,3.19,0,13.81,0,25.49,0,0,0,2.12,0,1.06
 96-106,1.09,1.09,5.46,1.09,1.09,7.65,0,1.09,17.49,0,5.46,3.28,0,8.74,0,27.32,0,0,0,5.46,3.28,5.46
108-118,0.77,0.77,6.13,0,0,6.89,0,0,8.43,0.77,3.83,4.6,0,10.72,0,20.68,0,0.77,0,3.06,0,3.06
120,0,0,1.96,0,0,15.68,0,0,9.8,1.96,9.8,5.88,0,23.52,0,19.6,0,0,0,1.96,0,3.92
