stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,ionocyte,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,2,0,0,0,0,2,0,1,10,1,1,1,0,1,0,5,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,0,0,1.64,0,0.82,11.49,0,0,0,0.82,0,0,4.1,0,0,0,0
 36-46,0,0,0,0,4.83,0.81,0,0,0,1.61,0,0,24.17,0,0,0,1.61,0,0.81,4.03,0,0.81,0,0
 48-58,0,0,0,0,5.16,0.57,0,0,0,0,0,1.15,15.49,0,0,0,0,0,0,3.44,0,0,0,0
 60-70,0,0,0,0,9.82,0.98,0,0,0,0.98,0,0,24.54,0,0,0,2.94,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,11.78,0,0,0.98,0,1.96,0,0,18.65,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,9.56,1.06,0,0,0,1.06,1.06,0,3.19,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,8.74,0,0,0,0,4.37,0,0,8.74,0,0,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0,0.77,0.77,10.72,0.77,0.77,0,0,0,0,0.77,13.79,0,0.77,0,0.77,0,0,0.77,1.53,0,0,0.77
120,0,0,0,0,13.72,0,1.96,0,1.96,0,0,0,9.8,0,1.96,0,0,0,0,0,0,1.96,0,0
