stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,taste
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,31.54,2.63,13.14,2.63,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0.82,0,6.57,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,11.28,0,0,11.28,0,0
 48-58,0,0,0.57,0.57,0,0.57,0,0,0,0,0,0,9.18,0,0,5.74,0.57,0
 60-70,0,0,0.98,0,0.98,0,0,0,0,0,0,0.98,2.94,0,0,17.67,0,0
 72-82,0,0,1.96,0,0,0,0,0,0,0,0,0,2.94,0,0,22.58,0,0.98
 84-94,0,0,2.12,0,1.06,0,0,0,1.06,1.06,1.06,0,5.31,0,0,62.66,0,1.06
 96-106,0,0,14.21,2.19,0,0,0,0,1.09,0,1.09,0,4.37,0,0,41.53,0,0
108-118,0,0,4.6,0.77,0.77,0,0.77,2.3,1.53,0,0,0,0.77,0,0,24.51,0,0.77
120,0,0,1.96,0,1.96,0,0,0,1.96,1.96,0,0,0,0,0,5.88,0,0
