stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,447.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,5.26,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.03,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,3.15,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,3.15,0,0,22.03,0,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,1,0,0,1,3,0,0,0,0,0
 24-34,0,0,0,4.1,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0.82,34.48,0,1.64,4.1,0,0,0.82,0,0,0,0,0.82,4.93,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,9.67,0.81,1.61,0,1.61,0,0,0.81,0,0,0,0,0,4.83,0,0,3.22,58.01,0,0,8.06,0,0,2.42,0,0,0,0,0,7.25,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,8.61,2.87,0,0,1.72,0,0,0,0,0,0,0.57,0,5.16,0,0,11.48,36.15,0,0,2.3,0,0,0,0,0,0,0,0,9.75,0,0,0,0,1.15
 60-70,0,0,0,1.96,0,0,35.33,48.09,1.96,0.98,6.87,0,0,0.98,0,0,0,0,0.98,18.65,0,0,16.69,70.67,0,0,1.96,0,0,0.98,0,0,0.98,0,0,9.82,0.98,0,1.96,0,0.98
 72-82,0,0,0,6.87,4.91,0,86.39,62.83,0.98,1.96,21.6,3.93,0.98,3.93,0,0,2.94,1.96,2.94,53.01,0.98,1.96,25.52,140.38,0,0.98,4.91,0,1.96,6.87,0,0,0.98,0.98,0,6.87,1.96,1.96,3.93,0.98,3.93
 84-94,0,0,0,9.56,13.81,0,72.22,89.21,4.25,0,13.81,2.12,1.06,5.31,1.06,0,0,0,1.06,31.86,2.12,3.19,29.74,59.47,1.06,1.06,9.56,0,2.12,6.37,0,0,0,0,0,10.62,2.12,0,5.31,3.19,2.12
 96-106,0,0,0,16.39,7.65,1.09,40.44,99.45,3.28,3.28,14.21,1.09,2.19,4.37,0,0,0,3.28,2.19,41.53,2.19,1.09,21.86,84.15,0,3.28,2.19,0,0,12.02,0,0,0,1.09,0,3.28,0,0,2.19,2.19,2.19
108-118,0,0,0.77,6.13,3.83,1.53,18.38,77.36,0.77,1.53,6.89,0,0.77,4.6,0.77,2.3,1.53,2.3,0,20.68,0.77,1.53,13.02,46.72,0.77,0.77,2.3,0,0,6.13,0,0,0,0,0,1.53,0.77,0,3.06,0.77,0.77
120,0,0,0,1.96,3.92,0,19.6,76.43,0,1.96,7.84,0,0,1.96,0,0,1.96,1.96,0,9.8,0,0,13.72,41.16,0,0,1.96,0,0,9.8,0,0,0,0,0,0,0,0,1.96,1.96,0
