stage,epidermis,eye,glial,gut,hatching.gland,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  7-9,0,0,0,0,49.95,0,0,5.26,0,2.63,0,0,0,0
 10-12,0,0,0,0,78.67,0,0,6.29,0,0,0,0,0,0
 14-21,1,0,0,1,83,0,0,11,0,0,1,1,0,4
 24-34,0.82,0,0,0,27.09,0.82,0.82,6.57,0.82,0,0,0,0,0.82
 36-46,0,0,0,0,4.83,0.81,0,0.81,0,0,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,1.15,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0
