stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,15.77,0,2.63,39.43,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,223.44,7.89,0,0,107.78,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,25.18,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.64,6.29,0,0,107,0,3.15,0,3.15,12.59,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,70,8,28,2,0,22,1,0,0,0,0,0,0,0,0,40,0,0,24,301,8,2,5,14,0,2,4,40,6,33,123,0,0,1,0,0
 24-34,0,0,0.82,3.28,27.09,3.28,87.83,4.93,0.82,27.91,0.82,0,0.82,0.82,0.82,1.64,0.82,0,0,79.62,0,0,42.68,664.89,0.82,15.6,6.57,0,0,6.57,0,0,3.28,7.39,186.33,0,0,5.75,0,1.64
 36-46,0,0,0,0,8.06,0.81,196.58,0,3.22,28.2,0,0,0.81,0,0,0,0.81,0,0,91.85,0,2.42,22.56,449.56,0.81,8.06,3.22,0,0.81,1.61,0,0,4.03,0,126.49,0,0,2.42,0,3.22
 48-58,0,0,0,0,12.05,0,258.21,0,3.44,34.43,1.15,0,1.15,0,0,0.57,2.87,0,0,99.27,0,4.59,26.97,292.64,1.15,7.46,2.3,0,0.57,0,0,0,0.57,0,60.25,0,0.57,0.57,0,0.57
 60-70,0,0,0,0,8.83,0,360.22,2.94,5.89,37.3,0.98,0,0.98,4.91,0,0.98,1.96,0.98,0.98,98.15,0,2.94,15.7,303.29,0,8.83,1.96,0,3.93,0,0,0,0,0,35.33,0,2.94,1.96,0,0.98
 72-82,0,0,2.94,0,13.74,1.96,286.65,0.98,3.93,55.95,2.94,0,1.96,3.93,0,1.96,2.94,0,0,136.45,0,4.91,22.58,224.8,0,21.6,6.87,0,0,1.96,0,0,0,0,18.65,0,3.93,4.91,3.93,0.98
 84-94,0,0,2.12,0,16.99,0,216.66,3.19,3.19,35.05,6.37,0,0,12.74,2.12,3.19,5.31,0,0,79.65,0,2.12,16.99,132.75,1.06,12.74,4.25,0,0,9.56,0,0,1.06,0,14.87,0,1.06,2.12,4.25,2.12
 96-106,0,0,1.09,0,18.58,1.09,144.26,3.28,7.65,34.97,3.28,0,0,8.74,2.19,1.09,7.65,0,0,86.33,0,6.56,9.84,107.1,2.19,17.49,10.93,0,3.28,6.56,0,0,2.19,0,8.74,0,2.19,6.56,2.19,2.19
108-118,0,0,0.77,0,26.04,1.53,114.89,2.3,1.53,21.45,3.83,0,0.77,12.26,2.3,0,3.06,1.53,0.77,73.53,0.77,3.06,12.26,160.85,2.3,12.26,7.66,0,2.3,4.6,0,0,0.77,0,6.13,2.3,2.3,5.36,2.3,5.36
120,0,0,0,0,27.44,7.84,56.83,5.88,5.88,25.48,1.96,0,1.96,3.92,0,3.92,3.92,1.96,0,48.99,1.96,0,15.68,107.79,1.96,3.92,7.84,0,1.96,0,0,0,1.96,0,0,0,0,7.84,1.96,0
