stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,15.73,15.73,0,78.67,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,6.29,0,0,40.91,0,0,0,239.17,0,0,0,0,0,0,0
 14-21,1,1,10,234,0,2,0,0,0,1,6,0,0,0,0,0,0,0,0,17,0,0,21,30,2,0,0,2,0,1,8,2,0,5,19,0,2,0,0
 24-34,0,0,1.64,22.98,0,3.28,0,0,0.82,0,0,0,0,0,1.64,0,0,0,0,8.21,1.64,0,3.28,52.53,0,0,0.82,0,0,0.82,0,0,0,2.46,11.49,0,4.93,0,0.82
 36-46,0,0,0.81,4.83,0,8.06,0.81,1.61,0.81,2.42,0,0,1.61,0,0,0,0,0,0.81,6.45,0,1.61,2.42,58.01,0,0,0.81,0,0,0,0,0,0.81,0,12.09,0,0.81,0,0
 48-58,0,0,1.72,1.15,0,14.92,1.15,0.57,2.87,6.31,0,0.57,0,0,0,0,0.57,0,0.57,12.05,0,0,1.15,48.77,0,0.57,0,0,0,0.57,0,0,0,0,9.75,0,1.72,0,0
 60-70,0,0,0,0,0,15.7,0,0.98,0.98,3.93,0.98,0,0.98,0,0,0,0,0,0,19.63,0,1.96,1.96,55.95,0,0,0.98,0,0,1.96,0,0,0,0,5.89,0.98,0,0.98,1.96
 72-82,0,0,0.98,0.98,0,20.61,0,0,2.94,8.83,0,0,0.98,0,0,0,0.98,0,0,29.45,1.96,0.98,0,49.08,0.98,0,1.96,0,0,1.96,0,0,0,0,2.94,0,1.96,0.98,0
 84-94,0,0,2.12,1.06,1.06,5.31,0,0,1.06,2.12,0,2.12,1.06,0,1.06,0,0,0,1.06,11.68,0,0,0,21.24,0,0,1.06,0,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,3.28,0,0,4.37,0,0,0,3.28,2.19,0,1.09,1.09,0,1.09,1.09,0,0,19.67,1.09,0,4.37,24.04,0,1.09,1.09,0,0,1.09,0,0,0,0,1.09,0,2.19,0,0
108-118,0,0,0.77,0,0,5.36,0,0,0,5.36,0,0,0,0.77,1.53,1.53,0,0,0,13.79,0,0,1.53,16.09,0,0,4.6,0,0,2.3,0,0,0,0,1.53,0,3.06,0,0
120,0,0,1.96,0,0,5.88,0,0,0,0,0,0,1.96,0,0,0,1.96,1.96,0,3.92,0,1.96,3.92,21.56,0,1.96,3.92,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0
