stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,34,2,0,1,0,1,0,0,4,0,0,0,6,0,0,0,0,0,0,0,6,27,0,0,0,0,0,28,0,3,1,1,6,21,0,0,0,0,0
 24-34,0,0,0,21.34,1.64,0,8.21,0,4.93,1.64,4.1,0.82,0.82,0.82,0.82,12.31,0,2.46,0.82,0.82,21.34,4.1,0,5.75,82.91,4.1,2.46,2.46,0,0,41.04,0,0,1.64,0.82,0.82,55.82,0,0,9.03,0,0
 36-46,0,0,0,8.06,0,0,14.5,0,1.61,1.61,4.03,0.81,0,0,0.81,2.42,0,1.61,0.81,0.81,13.7,0.81,0.81,4.03,65.26,0.81,6.45,0,0,0,21.75,0,0,0.81,0,0,38.67,0,0,4.03,0,1.61
 48-58,0,0,0.57,8.61,1.15,0,19.51,0.57,2.3,1.15,10.9,0.57,0.57,1.72,2.3,0.57,0,1.15,0,0.57,29.84,2.3,1.15,4.59,64.84,0.57,2.3,2.3,0,0,13.2,0,0,0,0.57,0,29.84,0,0,5.74,0,4.59
 60-70,0,0,0,9.82,0,0,25.52,0,4.91,1.96,5.89,0.98,0.98,0,4.91,3.93,0,0.98,0.98,0,34.35,0.98,1.96,1.96,63.8,0,4.91,1.96,0,0,12.76,0,0,0.98,0,0,16.69,0.98,0,7.85,0,0.98
 72-82,0,0.98,0,14.72,28.47,0,24.54,1.96,0.98,2.94,25.52,5.89,0,1.96,8.83,2.94,0,2.94,0,0,58.9,1.96,1.96,4.91,96.2,0,9.82,2.94,0,0,14.72,0,0,0,0,0,24.54,2.94,0.98,16.69,2.94,0.98
 84-94,0,1.06,0,27.61,14.87,0,20.18,0,9.56,0,10.62,8.5,0,0,27.61,2.12,0,5.31,0,2.12,40.36,5.31,1.06,3.19,57.35,6.37,4.25,4.25,0,1.06,30.8,0,0,0,0,0,7.43,3.19,1.06,13.81,4.25,2.12
 96-106,0,1.09,0,31.69,29.51,0,19.67,0,2.19,2.19,13.11,7.65,0,3.28,22.95,3.28,2.19,2.19,0,1.09,41.53,4.37,2.19,2.19,68.85,3.28,15.3,6.56,0,0,18.58,1.09,0,0,0,0,4.37,10.93,1.09,18.58,4.37,2.19
108-118,0,1.53,0,41.36,9.96,1.53,15.32,0,13.02,2.3,12.26,13.79,0,1.53,27.57,5.36,2.3,4.6,0.77,4.6,35.23,1.53,1.53,2.3,62.81,3.06,9.19,3.06,0,0.77,19.92,0,0,0,2.3,0,3.83,7.66,2.3,6.13,1.53,1.53
120,0,1.96,0,47.03,17.64,0,27.44,0,11.76,1.96,15.68,5.88,0,0,21.56,3.92,1.96,3.92,0,1.96,29.4,0,5.88,5.88,90.15,5.88,7.84,9.8,0,0,21.56,0,0,0,0,0,3.92,11.76,0,9.8,1.96,0
