stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6,0,0,1,0,0,0,3,0,1,0,0,0,0,0,2,0,0,1,23,1,0,0,2,0,1,3,0,2,9,0,0,0,0,0
 24-34,0,0,0,0,3.28,0,0.82,0,0.82,0,0,0,0,0,0,0,3.28,0,0,0,41.86,0,0,0,0,0,0.82,0,0,0.82,6.57,0,0,0.82,0,0
 36-46,0,1.61,0.81,0,4.03,0.81,0,0.81,1.61,0,0,0,0,0.81,0,0,1.61,0,0.81,0.81,43.51,1.61,0.81,0,0,0,0.81,0,0.81,0,4.03,0,0,0,0,0
 48-58,0,0,0,0,17.21,0,0,0.57,0,0,0,0,0.57,0,0,0,6.31,0,0,3.44,30.41,0,0.57,0,0,0,0,0,0,0,4.59,0,0.57,0.57,0,0
 60-70,0.98,0.98,0,0,25.52,0,0.98,0,5.89,0,0,0.98,0,0,0,0,8.83,0,0,0.98,64.78,0,0.98,0,0,0,1.96,0,0,0,9.82,0,0,0.98,0,0
 72-82,2.94,0,0,0,14.72,0,0,1.96,11.78,0.98,0.98,0,0,0.98,0,0,19.63,0,0,0,62.83,0,0.98,0,0,0,0.98,0,0,0,8.83,0,0.98,2.94,0,0.98
 84-94,0,1.06,1.06,0,8.5,0,1.06,0,4.25,0,0,0,0,0,0,1.06,6.37,0,2.12,1.06,24.43,1.06,0,0,0,0,1.06,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,0,0,3.28,0,0,0,3.28,1.09,1.09,2.19,0,2.19,1.09,0,9.84,1.09,0,3.28,18.58,0,0,0,0,0,2.19,0,1.09,0,1.09,0,1.09,0,2.19,0
108-118,0,0,0.77,0.77,8.43,0,0,0.77,7.66,0,0.77,0.77,0.77,0,0,0,6.89,0,0.77,0,24.51,0,0.77,0.77,0,0.77,1.53,0,0,0,0,0.77,0,0.77,0.77,0
120,0,3.92,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,17.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
