stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0.81,0.81,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,8.06
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,5.74,0,0,0,1.72,0,0,0,0,0,0,0,0.57,0,0.57,0,0,10.9
 60-70,0,0,0,0,0,0,0,0,2.94,0,0,0,0,22.58,0,0.98,0,10.8,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0,6.87
 72-82,0,0,0.98,0,1.96,0,0,0,2.94,11.78,0,0,0,22.58,0,17.67,0,24.54,0,0.98,0.98,4.91,0,0,0,0,0,0,0,0,0,0.98,0,2.94,4.91
 84-94,0,0,1.06,0,0,0,0,0,2.12,16.99,0,0,0,16.99,1.06,58.41,0,23.36,0,1.06,0,4.25,0,0,0,0,0,0,0,0,0,0,1.06,0,7.43
 96-106,1.09,12.02,4.37,1.09,27.32,1.09,0,1.09,21.86,203.27,1.09,2.19,0,14.21,0,536.59,0,85.24,0,7.65,10.93,118.03,1.09,1.09,0,5.46,10.93,4.37,0,3.28,0,5.46,1.09,3.28,8.74
108-118,0.77,21.45,2.3,0.77,19.92,0.77,3.83,0.77,16.09,360,3.06,0.77,0,25.28,0.77,1242.39,1.53,96.51,0,8.43,19.15,116.43,0.77,0,0.77,1.53,9.19,27.57,0,3.06,0.77,5.36,2.3,3.83,29.11
120,1.96,39.2,0,0,33.32,0,7.84,0,19.6,272.41,0,3.92,1.96,17.64,0,660.45,1.96,211.66,1.96,25.48,29.4,86.23,9.8,0,1.96,5.88,15.68,27.44,0,0,1.96,9.8,3.92,15.68,5.88
