stage,axial,blastomeres,endocrine_pancreas,erythrocytes,eye,glial,gut,immune,iridophores,liver,mesenchyme,mural_cell,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,39.53,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0,0.81,4.03,0,0,0,0.81,0,0.81
 48-58,0,0,0,0,1.72,0.57,0,0,0,0,0,0,3.44,0,0,0,1.15,0,0
 60-70,0,0,0.98,0,1.96,0,0.98,0,1.96,0,0,0,2.94,0,0,0,0.98,0,0
 72-82,0,0,0,0,2.94,0,0,0,0.98,0,1.96,0,4.91,0,0,0,1.96,0,0
 84-94,0,0,1.06,1.06,0,0,2.12,1.06,0,0,0,0,2.12,1.06,0,0,0,0,0
 96-106,0,0,1.09,0,3.28,0,0,0,0,0,0,0,4.37,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0,4.6,0.77,0,0.77,0,0,2.3,0,0,0,0,1.53,0.77
120,0,0,0,0,3.92,0,3.92,0,0,0,0,0,1.96,1.96,0,0,0,0,0
