stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,3.15,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,1.64,1.64,1.64,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,1.61,0.81,0,0,0,0.81,0,0,0,0,12.09,0,0,0.81,0,0.81,0,0,0
 48-58,0,0,0,0,0,3.44,0,0,1.15,0,0,0,0,2.3,0,13.77,0,0,0,0,3.44,0,0,0
 60-70,0,0,0,0,0,4.91,0,0,0,0,0,0.98,0,1.96,0,26.5,0,0.98,0,0,2.94,0,0,0
 72-82,0,0,0,0,0,13.74,0,0,0,0,0,0,0.98,3.93,0,16.69,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,5.31,0,0,0,2.12,0,0,0,4.25,0,8.5,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,2.19,0,4.37,0,0,1.09,0,0,0,0,7.65,2.19,8.74,0,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0,0,4.6,0,0.77,1.53,0,0,0,0,0,0.77,9.19,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,5.88,0,0,0,1.96,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0
