stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,4.93,0,0,0,0.82,0,0,0
 36-46,0.81,0,0,0,0,0,0,0,0.81,0,3.22,0,0,0.81,0,0,0,0
 48-58,0,0,1.15,0,0,0.57,0,0,1.15,0.57,2.87,0,0,0,1.15,0,0,0.57
 60-70,0,0,0.98,0,0.98,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,2.94,0,1.96,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0
 96-106,0,2.19,0,0,0,0,1.09,0,1.09,0,1.09,0,0,1.09,0,0,0,0
108-118,0.77,0,0,0,0,0,0,0.77,0,0,2.3,0,0,0,0,0.77,0,0
120,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96
