stage,blastomeres,epidermis,eye,glial,hatching.gland,heart,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,13.14,0,7.89,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,15.73,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0,0,0.82,0,0,0,0.82,0,0.82,0,0,0,0,1.64
 36-46,0,0,0.81,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,1.72,0,0,0,0,0,1.15,0,0,0,0.57,0
 60-70,0,0,0,0.98,0,0,0,0.98,1.96,0,0,0,1.96,0
 72-82,0,0,0,0,0,0.98,0.98,0,0.98,2.94,0,0.98,0,0
 84-94,0,0,2.12,0,0,0,1.06,0,0,1.06,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
