stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,6.29,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.35,3.15,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,53,1,11,1,0,12,2,1,2,0,0,0,0,23,0,0,10,178,2,0,1,1,0,0,3,0,0,82,0,0,1,0
 24-34,0,0,0,4.1,23.8,0.82,13.13,1.64,1.64,20.52,0,0,5.75,0,0,0,0,35.3,0,1.64,10.67,398.12,3.28,0.82,0.82,0,0.82,9.85,0,0.82,4.93,132.98,0,0,4.93,0
 36-46,0,0,0,0,15.31,0,31.42,0.81,2.42,31.42,1.61,0,3.22,0.81,0,0,0.81,35.45,0,0,7.25,230.42,0.81,0,1.61,0,0,4.03,0,0.81,0.81,107.96,0,0,3.22,0
 48-58,0,0.57,0,0,7.46,0.57,27.54,1.15,1.15,41.89,1.15,0,2.87,0,0,1.15,0,35.58,0,1.15,3.44,105.58,1.72,0.57,3.44,0,1.72,5.16,0,0,0,61.4,0,0,1.15,0
 60-70,0,0,0.98,0,7.85,0,8.83,2.94,0.98,47.11,3.93,0,0.98,0,0.98,1.96,0,25.52,0,2.94,5.89,43.19,0,0,1.96,0,0,4.91,0,0,0,32.39,0,1.96,0,0
 72-82,0,0,1.96,0.98,11.78,0,14.72,3.93,1.96,80.5,0,0,1.96,0,0,0.98,0,45.16,0,5.89,1.96,43.19,0,0,2.94,0,1.96,2.94,0,0,0,15.71,0.98,2.94,0,0
 84-94,0,0,0,0,20.18,0,14.87,4.25,1.06,57.35,0,0,4.25,0,0,1.06,0,28.68,0,8.5,3.19,33.99,0,0,7.43,0,1.06,11.68,0,0,0,15.93,2.12,1.06,0,3.19
 96-106,0,0,0,0,19.67,0,12.02,6.56,2.19,62.29,5.46,0,2.19,0,2.19,2.19,0,19.67,0,2.19,2.19,38.25,0,1.09,6.56,0,0,7.65,0,3.28,0,8.74,1.09,1.09,0,2.19
108-118,0,0,0,0,26.81,0,9.96,12.26,0.77,49.79,2.3,0,0.77,0,0.77,0.77,0,19.92,0,6.89,1.53,42.13,0,0.77,2.3,0,0.77,3.06,0,0,0,5.36,1.53,0,0.77,1.53
120,0,0,0,0,23.52,0,3.92,1.96,0,35.28,3.92,0,0,0,0,0,0,11.76,1.96,5.88,0,19.6,0,0,9.8,0,1.96,0,0,1.96,0,3.92,1.96,0,0,0
