stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,2.63,0,0,0,21.03,0,7.89,0,2.63,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,22.03,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,0,4,0,0,0,3,0,0,8,0,0,0,0,0,1,3
 24-34,0,0,0,0.82,0,4.1,0,0,0,0.82,0.82,0,17.24,0,0,0,0,0,0,5.75
 36-46,0,0,0,0,0,1.61,0.81,0,0,0.81,0,0.81,12.09,0,0,2.42,0,0,0,6.45
 48-58,0,0,0,0,0,6.31,0.57,0,0,1.72,0,0,8.03,0,0,0,0,0,0,1.72
 60-70,0,0,0,0,0,7.85,0.98,0,0,1.96,0,0,3.93,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,2.94,0,0,1.96,0,0,3.93,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,1.06,0,0,3.19,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.28,1.09,0,0,2.19,0,0,1.09,1.09,0,1.09,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0.77,0,0,0,0,2.3,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,0,1.96,0,0,0,0,0,3.92,0,0,0,0,0,0,0
