stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,3,8,0,0,0,0,0,0,0,0,228,81,3,0,0,0,0,0
 24-34,0,0.82,0,0,6.57,165.81,0,0,0,0,5.75,0,0.82,0,0,0,0,1.64,0,0.82,18.06,62.39,0,0.82,0,0,0,8.21,0.82,0,139.55,100.97,20.52,0,0,0.82,0,0.82
 36-46,0,0.81,0.81,0,13.7,344.83,0.81,0,4.03,0,2.42,1.61,0,0,0,0,0,5.64,0,0,13.7,91.85,0,0,0.81,0,0,1.61,0,0,108.77,4.83,26.59,0,0,0,0,0.81
 48-58,0,0.57,0.57,0,35,325.92,0.57,0,6.89,0,1.15,0.57,0,0.57,0.57,0,0,13.2,0,2.3,17.21,74.02,0,0.57,0.57,0,0,0.57,0,0,95.25,0,15.49,0,0,0.57,0,2.3
 60-70,0,1.96,0,0,24.54,234.58,0.98,0.98,8.83,0,0,1.96,0,0.98,0,0.98,0,17.67,0,0.98,15.7,64.78,0,0,0,0.98,0,4.91,0,0,65.76,0,7.85,0,1.96,0.98,1.96,0.98
 72-82,0,1.96,1.96,0,34.36,176.7,0,0.98,9.82,0,0.98,0.98,0,1.96,0,0,0,15.71,0,0.98,12.76,50.06,0,0.98,0.98,0,0,1.96,0,0,50.06,0,1.96,0,2.94,0,13.74,0.98
 84-94,1.06,6.37,3.19,0,35.05,314.36,0,2.12,8.5,1.06,2.12,3.19,0,1.06,0,1.06,1.06,13.81,1.06,5.31,13.81,31.86,1.06,0,1.06,0,0,7.43,0,0,104.08,0,3.19,0,1.06,1.06,19.12,0
 96-106,1.09,7.65,10.93,1.09,38.25,501.62,2.19,0,10.93,2.19,1.09,3.28,1.09,3.28,0,3.28,1.09,32.79,0,4.37,20.76,72.13,0,2.19,1.09,1.09,0,6.56,0,0,110.38,0,3.28,2.19,0,1.09,18.58,4.37
108-118,0,5.36,2.3,1.53,19.15,382.98,1.53,0.77,8.43,0,0.77,3.83,1.53,0.77,0.77,3.06,0,17.62,0.77,2.3,27.57,44.43,0,0,2.3,0,1.53,6.13,0,0.77,89.62,0,2.3,0,0.77,3.06,7.66,0
120,0,0,0,0,7.84,203.82,0,0,5.88,0,1.96,3.92,0,1.96,0,1.96,1.96,11.76,0,1.96,15.68,33.32,0,3.92,0,0,0,3.92,1.96,0,33.32,0,0,0,0,0,9.8,0
