stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,57.83,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,12.59,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,160.5,3.15,0,0,40.91,0,3.15,0,6.29,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,1,35,2,2,0,4,0,1,0,0,0,0,0,0,0,0,4,0,0,3,47,2,0,0,0,1,0,2,0,15,41,27,0,0,0,0,0
 24-34,0.82,0,2.46,0,6.57,0.82,4.1,0,0,0,0,0.82,0,0,0,0,0,0,0,4.1,0,0,4.1,128.87,0,0.82,0,0,0,0,0,0,0,5.75,44.33,0,0,6.57,0,0.82
 36-46,0,0,0,0,0.81,0,14.5,0,1.61,0,1.61,0,0,0,0,0,0,0,0,3.22,0,0.81,2.42,320.66,0,1.61,0.81,0,0.81,0,0,0,0,0,77.34,0,0,4.03,0,0
 48-58,0,0,0,0,1.15,0.57,53.94,0,1.72,0,5.74,0,0.57,0.57,0,0,0,0,0,8.61,0,0.57,2.87,426.91,0,1.72,0,0,2.3,0,0,0,0,0,63.69,0,0,4.02,0,1.15
 60-70,0,0,0,0,3.93,0.98,197.29,0,0,0,11.78,0,0,0,0,0,0,0.98,0,17.67,0,2.94,0.98,860.79,0,2.94,0.98,0,1.96,0,0,0,0,0,98.15,0.98,0.98,0.98,0.98,0.98
 72-82,0,0,0.98,0,7.85,1.96,247.38,0.98,0,1.96,20.61,0,0,0,0,0,0,0,0,22.58,0,3.93,1.96,753.92,0,0.98,0,0,1.96,0,0,0.98,0,0,49.08,3.93,0.98,4.91,12.76,0
 84-94,0,0,0,0,18.05,1.06,138.06,1.06,1.06,0,16.99,2.12,0,0,1.06,1.06,1.06,0,1.06,13.81,0,4.25,3.19,338.79,0,0,2.12,0,1.06,0,0,1.06,0,0,33.99,4.25,4.25,6.37,11.68,0
 96-106,0,0,1.09,0,24.04,4.37,95.08,0,1.09,2.19,27.32,2.19,0,1.09,0,0,0,0,1.09,21.86,0,3.28,5.46,318.02,0,3.28,1.09,0,3.28,0,0,0,0,0,17.49,3.28,1.09,6.56,18.58,0
108-118,0,0,0,0,17.62,2.3,76.6,0,1.53,0.77,14.55,2.3,0,1.53,1.53,0.77,0.77,0,0,13.79,0.77,0.77,3.83,453.45,0.77,1.53,1.53,0,1.53,0,0,0.77,0.77,0,5.36,9.96,0.77,6.13,13.79,0.77
120,0,0,1.96,0,21.56,0,84.27,0,1.96,0,17.64,0,0,0,1.96,0,0,1.96,0,15.68,0,1.96,5.88,401.76,0,0,0,0,1.96,0,0,0,0,0,17.64,5.88,0,11.76,11.76,0
