stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,2,9,0,0,0,0,45,0,3,2,0,0,0
 24-34,0,0,0,2.46,0,0,3.28,0.82,0,0,0,0,0,0,0.82,0,0,24.63,0,0.82,0,0,154.32,0,0,7.39,0,0.82,0
 36-46,0,0,0,0.81,0,0,4.03,0,0,0.81,0.81,0,0,1.61,0,0,0,24.17,0,0,0,0,151.47,0,0,4.83,0,0,0
 48-58,0,0,0,1.15,0,0,13.77,0.57,0,1.72,0.57,0,0.57,0,2.3,2.3,0,28.12,0.57,1.15,0,0,89.51,0,0,1.72,0,0,0.57
 60-70,0,0,0,2.94,0,0,14.72,0,0,1.96,0,0,0,0,6.87,0,0,16.69,0,0,0.98,0,98.15,0,0,0.98,0,0,0
 72-82,0,0,0,3.93,0,0,3.93,0,0.98,2.94,0,0,0,1.96,1.96,0.98,0,21.6,0,0.98,0,0,81.48,0,0,0.98,0.98,0,0
 84-94,0,0,0,4.25,1.06,0,3.19,2.12,0,2.12,0,0,1.06,0,4.25,2.12,1.06,7.43,0,1.06,0,0,275.07,0,0,0,0,1.06,0
 96-106,0,0,2.19,16.39,0,1.09,4.37,1.09,0,2.19,1.09,0,6.56,2.19,3.28,0,0,16.39,0,3.28,0,0,275.4,0,0,0,1.09,1.09,0
108-118,0,0,0,14.55,0,0.77,2.3,1.53,0,0,1.53,0,6.13,0.77,3.06,6.89,0.77,5.36,0,0.77,0.77,0,166.21,0.77,0,0,0.77,0,0.77
120,0,0,0,23.52,0,0,3.92,3.92,0,0,0,0,5.88,1.96,0,0,0,9.8,0,3.92,0,0,129.35,0,0,1.96,0,0,0
