stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,5,0,0,0,9,0,0,0,0,0,2,0,0,16,3,1,0,3,2,5,13,0,4,19,1,0,0
 24-34,0,0,0,0,0.82,0.82,5.75,0,0,0,0,0,0.82,0,2.46,15.6,0.82,0.82,0.82,0,0.82,0,0.82,0,3.28,22.16,4.1,0,0
 36-46,0,0,0,0,11.28,0,2.42,0,0.81,0,0,0,5.64,0,1.61,42.7,0,2.42,0,0,0.81,0,0,0,0,19.34,0.81,0,0.81
 48-58,0,0.57,0,0,32.13,0,5.16,0.57,0.57,0,0,0,2.87,0,1.15,27.54,0,0,0.57,0,0,0,0.57,0.57,0,5.16,0.57,0,0
 60-70,0,0,0,0,25.52,0,3.93,0,1.96,0,0,0,2.94,0,0.98,23.56,1.96,0,0,0,0.98,0,0,0,0,9.82,0,0,0
 72-82,0,0,1.96,0,9.82,0,0,0,1.96,0,0,0,1.96,0,0,11.78,0,0,1.96,0,1.96,0,0,0,0,1.96,0.98,0,0
 84-94,0,2.12,0,0,7.43,0,3.19,0,2.12,0,0,0,1.06,1.06,0,14.87,0,0,0,0,1.06,0,1.06,0,0,1.06,0,0,0
 96-106,0,2.19,0,0,3.28,0,1.09,0,3.28,1.09,0,0,3.28,0,1.09,5.46,0,2.19,0,0,1.09,0,0,0,0,0,1.09,1.09,0
108-118,0,0.77,0,0.77,4.6,0,0.77,0,5.36,0,0,0.77,3.06,0,0,10.72,0,0.77,0,0,0,0,0,0,0,0.77,0,0,0
120,0,5.88,1.96,0,1.96,1.96,7.84,0,7.84,1.96,1.96,0,1.96,0,0,15.68,1.96,0,1.96,0,1.96,0,1.96,0,0,0,1.96,0,0
