stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,184.49,5679.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0
  5-6,67.43,833.63,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,6.13,36.78,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,10.51,0,0,0,0,10.51,0,0,0,0,0,0,0,0,73.6,2.63,0,39.43,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,44.06,3.15,0,9.44,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,16,2,3,1,0,0,1,0,0,1,0,0,0,2,0,1,28,2,0,1,0,1,2,0,3,6,0,0,1
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0.82,11.49,0,0.82,0,1.64,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,0.81,0,0,0,0,0,0,0,1.61,0,0.81,4.03,0,0,0,0.81,0,0,0,0,1.61,0,0,0.81
 48-58,0,0,0,0.57,0,2.87,0,0.57,0.57,0,0,0,0,0,0,0,1.15,0,0.57,3.44,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0.98,0.98,0,0,0,0,0,0,0,0.98,0.98,0,5.89,0,0,0,0,0,0,0,0,0.98,0,0.98,0
 72-82,0,0,0,0,0,2.94,0,0,3.93,0,0,0,0,0,0,0,0.98,0,0,1.96,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,2.12,0,0,0,0,0,0,0,3.19,0,2.12,2.12,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,4.37,0,1.09,2.19,0,0,0,0,1.09,0,0,0,0,0,3.28,0,0,0,1.09,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,1.53,0,0.77,1.53,0,0,0,0,0.77,0.77,0,3.83,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,1.96,0,0,3.92,0,0,3.92,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0
