stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,1,17,1,0,0,0,0,1,1,0,0,4,0,0,0,0,0,2,0,1,21,1,1,0,0,0,52,1,0,14,0,0,0,0,0
 24-34,0,0,1.64,0,3.28,0,0,0,0.82,0,0,0,11.49,0,0,0,0,0,0,0,0,154.32,0,4.1,1.64,0,0,22.98,0,0,70.59,0,0,0,0,0
 36-46,0,0.81,0,0,5.64,0,0,0,0.81,0,0,0,1.61,0,0,0,0,1.61,0,0,0.81,468.09,0,12.09,0,0,0,17.72,0,0,132.13,0,0,0.81,0,0
 48-58,0,0.57,2.3,0,53.36,0,0,0.57,6.31,0,0,0,2.3,0,0,0.57,0.57,5.16,0.57,0,1.72,676.52,0,4.02,0.57,0,0.57,6.89,0,0,127.38,0,0,0.57,0,0
 60-70,0,0,1.96,0,173.73,0.98,3.93,0,10.8,0,0,0,0.98,0,0.98,0,0,6.87,0,0.98,0,1137.58,0,8.83,0.98,0,0,3.93,0,0.98,147.23,0,0,0,0,0
 72-82,0,0,4.91,3.93,285.66,1.96,1.96,0.98,17.67,0,0.98,0.98,0.98,0.98,1.96,0,0.98,19.63,0.98,0,3.93,1008.17,0,12.76,4.91,0,0,3.93,0,0,90.31,0,0,1.96,0,3.93
 84-94,0,0,7.43,0,148.69,0,0,0,12.74,1.06,0,0,7.43,1.06,0,0,0,4.25,2.12,0,0,453.49,0,9.56,5.31,0,0,8.5,0,0,52.04,0,1.06,0,0,0
 96-106,0,1.09,7.65,2.19,102.73,0,1.09,2.19,14.21,1.09,0,1.09,3.28,0,0,0,0,8.74,0,0,0,396.7,0,12.02,8.74,0,0,7.65,0,0,28.41,2.19,0,5.46,1.09,0
108-118,0,1.53,6.13,2.3,78.89,0.77,0.77,0.77,10.72,0,0,0,3.06,0,3.06,0,0,2.3,1.53,0,0.77,522.39,0,3.83,6.89,0,0,3.83,0,0.77,14.55,0,0,0,0.77,0
120,0,0,5.88,0,48.99,0,0,1.96,17.64,0,0,0,5.88,0,1.96,0,0,11.76,0,0,1.96,476.23,0,7.84,1.96,0,0,0,0,1.96,25.48,3.92,0,0,0,0
