stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,56.65,0,3.15,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,5,0,0,2,0,0,0,2,1,0,0,0,0,0,0,3,0,0,5,23,2,0,0,0,1,8,0,58,89,18,0,0,1,0,0
 24-34,0,0,0,0,7.39,0.82,0,9.03,119.84,0,0,4.1,0,0,0,0,0,0,0,9.03,0,0,27.91,67.31,1.64,0,0.82,0,1.64,0,0.82,96.86,145.29,14.78,0,0,2.46,0,0
 36-46,0,0,0,0,2.42,0.81,0,12.89,205.45,0,1.61,6.45,0,0,0,0.81,0,0,0.81,19.34,0,0,16.11,87.82,0,2.42,0,0,2.42,0,0,111.99,11.28,33.84,0,0.81,2.42,0,0
 48-58,0,0,0,0,0.57,0,0,26.4,177.88,0.57,1.72,8.03,0,0.57,0.57,0.57,0,0,1.15,12.62,0,1.15,13.2,67.71,0.57,0.57,1.72,0,2.3,0,0,96.4,0,16.64,0,0,1.72,0,2.3
 60-70,0,0,0,0,4.91,0.98,0,24.54,165.88,0,0.98,4.91,0.98,0.98,0,0,0,0,0.98,6.87,0.98,0,12.76,35.33,0,0,1.96,0.98,1.96,0,0.98,54.97,0,2.94,0,0,0.98,0,0
 72-82,0,0,0,0,0,1.96,0,24.54,110.93,1.96,2.94,9.82,0,2.94,0,0,0,0,0,10.8,0,1.96,9.82,28.47,0,0,0.98,0,0.98,0,0,44.17,0,1.96,0,0.98,6.87,0,0.98
 84-94,0,0,0,0,8.5,2.12,0,23.36,212.41,0,2.12,9.56,3.19,2.12,0,0,0,1.06,0,13.81,0,3.19,9.56,28.68,0,1.06,1.06,0,9.56,0,0,72.22,0,3.19,1.06,0,2.12,0,0
 96-106,0,0,0,0,5.46,9.84,1.09,29.51,280.86,2.19,0,5.46,3.28,3.28,2.19,0,1.09,2.19,0,30.6,0,3.28,20.76,45.9,0,2.19,1.09,0,4.37,0,0,72.13,0,4.37,1.09,0,2.19,1.09,0
108-118,0,0,0.77,0,5.36,3.06,0,13.79,212.17,3.06,1.53,2.3,2.3,1.53,1.53,0,1.53,0.77,0,15.32,0,0.77,20.68,25.28,0.77,0.77,1.53,0,3.83,0,0,52.09,0,2.3,0,0,1.53,0,2.3
120,0,0,0,0,0,0,0,11.76,90.15,1.96,1.96,3.92,0,1.96,0,0,0,0,1.96,1.96,0,0,9.8,21.56,0,0,0,0,1.96,1.96,0,21.56,0,0,0,0,1.96,0,0
