stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,3.15,0,0,0
 14-21,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,2,0,0,2,0,1,0,3,0,0
 24-34,0,2.46,0,0.82,0,0.82,0.82,0,0,0,0,0,0.82,0,0,0.82,2.46,77.16,0,2.46,0,0,0.82,0,0,9.03,0,0
 36-46,0,2.42,0,8.06,0,0,0,0.81,0,0,0,0,0,0,3.22,0,0.81,174.83,0,0.81,0,0,0,0,0,16.11,0.81,0
 48-58,0,4.02,0.57,45.33,0.57,0.57,0.57,4.02,0,0,0,0,0,0.57,4.59,0,0.57,238.13,0,0,0,0,0.57,0,0,24.67,0.57,0.57
 60-70,0,0.98,0,91.28,0,0,0,3.93,0,0,0,0.98,0,0,6.87,0,2.94,349.42,0,0,0,0,0,0,0.98,36.32,1.96,0
 72-82,0,2.94,0,63.81,0,0,0,5.89,0,0,0.98,0,0,0,2.94,0,0.98,186.52,0,0.98,0,0,0.98,0,0.98,8.83,0,0
 84-94,0,4.25,1.06,63.72,1.06,0,0,8.5,1.06,0,0,1.06,0,0,3.19,1.06,2.12,89.21,0,0,0,0,1.06,0,0,8.5,1.06,0
 96-106,0,0,1.09,49.18,0,0,0,0,0,0,0,0,2.19,0,7.65,0,1.09,76.5,1.09,0,0,0,0,0,0,6.56,0,0
108-118,0,2.3,0,24.51,0,2.3,0,0.77,0,0,0,0,0,0,0.77,0,0,85.02,0,0.77,0.77,0,0,0,0,2.3,0,0
120,0,1.96,0,29.4,0,1.96,0,3.92,0,0,0,0,1.96,0,1.96,0,1.96,70.55,0,0,0,0,0,0,0,5.88,0,0
