stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,1,2,2,0,2,6,0,1,0,0
 24-34,0,1.64,0.82,0,1.64,0,0,0,0,0,0,1.64,0.82,1.64,0,0.82,0,0,9.03,0,0,0.82,30.37,0,0.82,0.82,0,2.46,0,0,0,0,7.39,0,3.28,0,0.82
 36-46,0,2.42,0,0,3.22,0,0,1.61,1.61,0,0.81,0,0,2.42,0,0,0,0,16.92,0,0.81,3.22,72.51,0.81,0.81,0,0,2.42,0,0,0,0,16.92,0,0.81,0,0
 48-58,0.57,1.15,0,0,11.48,0,0,3.44,3.44,0,0,2.3,5.16,0.57,0,0,0,0,26.4,0.57,1.15,1.72,64.84,0.57,0.57,0.57,0,0.57,0,0,0,0,18.36,1.15,1.72,0,1.72
 60-70,0,0,0,0,14.72,0.98,0,4.91,2.94,0,0,1.96,12.76,0.98,1.96,0,0,0,33.37,0,2.94,1.96,59.87,0.98,0.98,0,0.98,1.96,0,0,0,0,8.83,1.96,2.94,0.98,0.98
 72-82,2.94,2.94,6.87,0,24.54,0,0.98,7.85,11.78,0,0,1.96,53.01,1.96,0.98,1.96,0.98,0,53.99,0,6.87,4.91,65.77,0.98,0.98,0.98,1.96,0.98,0,0,0.98,0,5.89,6.87,4.91,11.78,0.98
 84-94,2.12,3.19,4.25,0,21.24,0,1.06,2.12,2.12,3.19,0,1.06,47.79,1.06,1.06,0,1.06,0,23.36,0,5.31,2.12,38.23,0,1.06,1.06,0,9.56,0,0,0,0,7.43,6.37,2.12,9.56,1.06
 96-106,0,9.84,8.74,0,36.06,1.09,1.09,4.37,12.02,6.56,0,4.37,96.17,2.19,2.19,0,0,1.09,74.31,0,6.56,1.09,67.76,1.09,0,2.19,3.28,7.65,0,0,0,0,4.37,8.74,13.11,26.23,2.19
108-118,0,12.26,6.13,1.53,21.45,0,0.77,1.53,10.72,4.6,0,4.6,82.72,4.6,3.83,1.53,2.3,0.77,46.72,0,0,6.13,49.02,0,3.83,1.53,2.3,9.19,0,0.77,0,0,1.53,3.06,4.6,10.72,0.77
120,0,7.84,3.92,0,13.72,0,1.96,0,5.88,5.88,0,5.88,99.95,3.92,0,0,1.96,0,21.56,0,1.96,5.88,39.2,0,0,1.96,3.92,5.88,0,3.92,0,0,0,7.84,5.88,25.48,0
