stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,20,80,0,1,0,0,0,0,0,0,4,0,0,0,0,1,1,12,0,0,1,33,11,0,1,0,0,0,1,0,0,1,28,0,0,29,0,0
 24-34,0,0,1.64,0,36.94,14.78,0,3.28,0,0,0,4.1,0.82,0,11.49,0,0,0.82,0,0,5.75,41.86,0,0,4.1,68.95,13.95,0.82,1.64,0,0,2.46,0,0,0,0,38.58,0,0,142.83,0,0
 36-46,0,0,0,0,18.53,1.61,0,4.83,0,0,2.42,4.83,0,1.61,6.45,0,0,0,1.61,0,10.47,47.53,0.81,0,4.83,145.83,18.53,0,0,0,0,3.22,0,0,0,0,32.23,0,0,114.41,0,1.61
 48-58,0,0,1.15,0,14.92,1.72,0,25.25,0,0,4.02,8.03,0,2.3,10.9,0,0.57,0.57,0,0.57,2.3,90.66,0,2.87,1.15,200.83,6.31,0.57,2.3,0,0,10.9,0,1.15,0,0,31.56,0,0.57,114.19,0,0
 60-70,0.98,0,1.96,0,9.82,0,0,128.58,0.98,1.96,3.93,11.78,0,0,10.8,0.98,0,0,0.98,0,1.96,162.93,0,0,2.94,472.11,6.87,0.98,2.94,0,0.98,24.54,0,0.98,0,0,36.32,0,7.85,110.91,0,0.98
 72-82,0,0,0,0,10.8,0.98,0,220.87,0,0,3.93,65.77,2.94,0.98,24.54,0,0,0.98,1.96,0,0,203.2,0.98,4.91,4.91,436.84,0.98,3.93,4.91,0,0.98,12.76,0,2.94,0,0,23.56,4.91,14.72,225.78,9.82,0.98
 84-94,0,0,1.06,0,12.74,3.19,0,184.79,0,0,4.25,40.36,3.19,1.06,18.05,0,1.06,0,0,2.12,1.06,164.62,1.06,4.25,6.37,199.66,10.62,0,3.19,0,1.06,27.61,0,1.06,0,0,19.12,5.31,13.81,195.41,9.56,0
 96-106,0,0,0,0,9.84,6.56,0,140.98,0,0,4.37,59.01,6.56,0,19.67,1.09,1.09,0,2.19,2.19,0,138.79,1.09,2.19,1.09,136.61,4.37,4.37,6.56,0,5.46,17.49,0,6.56,1.09,0,8.74,27.32,15.3,238.24,8.74,0
108-118,0,0,1.53,0,5.36,1.53,1.53,111.83,0,0.77,3.06,38.3,3.06,0,12.26,1.53,0,1.53,0,1.53,1.53,96.51,0,0.77,3.06,183.07,2.3,1.53,2.3,0,1.53,9.19,0,4.6,0,0,2.3,20.68,18.38,166.21,7.66,0
120,0,0,5.88,0,7.84,1.96,1.96,103.87,0,0,0,41.16,9.8,0,15.68,1.96,0,0,0,0,0,68.59,0,1.96,3.92,168.54,17.64,1.96,0,0,5.88,5.88,0,1.96,0,0,7.84,13.72,19.6,125.43,1.96,0
