stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,7,0,0,1,0,0,10,3,0,18,0,0,1,2,0,1,14,1
 24-34,0,0,0.82,0,4.93,0,0.82,0,2.46,0,13.95,4.1,0.82,36.12,0.82,0,0,0,0.82,0,9.85,8.21
 36-46,0,0,0,0,2.42,0,0.81,0,2.42,0,5.64,3.22,0,18.53,0,0,0,0,0,0,0.81,2.42
 48-58,0,0,0.57,0,1.15,0.57,1.15,0,4.02,0,4.02,1.15,0,10.33,0,0.57,0,0,0,0,1.15,0
 60-70,0,0,0,0,1.96,0,0,0,2.94,0,0.98,1.96,0,5.89,0,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,1.96,0,0,0,2.94,0,0.98,2.94,0,10.8,0,0,0,0,0,0,1.96,0
 84-94,0,0,1.06,0,2.12,0,1.06,0,2.12,0,0,0,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,2.19,0,1.09,1.09,0,5.46,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,2.3,0,0,0,0.77,1.53,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,1.96,0,3.92,0,3.92,0,0,0,0,0,0,0,0
