stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.35,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,459.46,15.73,0,0,18.88,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,4,163,50,0,102,0,0,0,20,4,4,0,14,0,1,17,0,40,0,0,17,395,25,2,75,4,0,0,0,3,6,0,9,138,0,0,42,0,0
 24-34,0,0,1.64,8.21,118.2,8.21,0,172.38,0,3.28,4.1,22.98,5.75,16.42,0,0,0.82,9.03,20.52,0,133.8,1.64,0,68.13,260.21,5.75,49.25,51.71,0,1.64,1.64,0,0,10.67,0,2.46,105.89,0,0,175.66,0,0
 36-46,0,0,0,2.42,58.01,0.81,0,85.4,0,3.22,8.86,26.59,4.03,25.78,1.61,0,2.42,8.86,8.06,0,258.62,2.42,4.03,96.68,132.94,3.22,75.73,33.84,0,0.81,0.81,0,0.81,4.83,0,0,67.68,0,3.22,159.52,0,1.61
 48-58,0,0,0,0,35.58,0.57,0,84.92,0,14.35,17.79,38.44,13.2,20.66,1.15,0,1.72,3.44,9.75,0.57,379.86,0.57,12.05,74.02,79.19,1.15,49.92,21.23,0,0.57,1.15,0,0,1.72,1.15,0,40.17,0,4.59,163.53,0,1.72
 60-70,0,0,0,0,31.41,0,0,94.23,0,14.72,14.72,76.56,17.67,15.7,0.98,4.91,8.83,6.87,22.58,1.96,675.29,0,13.74,40.24,76.56,0,48.09,12.76,0,2.94,3.93,0,0,0.98,0,0,24.54,0,12.76,130.54,7.85,1.96
 72-82,0,0,2.94,0,15.71,1.96,0,121.73,1.96,13.74,15.71,128.6,80.5,24.54,1.96,1.96,7.85,4.91,43.19,0,968.9,0,59.88,41.23,99.15,0.98,81.48,19.63,0,12.76,0,0,0,1.96,0.98,0,15.71,0.98,19.63,219.89,27.49,1.96
 84-94,0,0,1.06,1.06,16.99,1.06,0,203.91,0,16.99,13.81,76.47,118.95,16.99,3.19,0,3.19,2.12,107.27,0,553.32,1.06,31.86,26.55,57.35,0,58.41,19.12,0,6.37,2.12,0,0,6.37,1.06,0,9.56,1.06,28.68,200.73,12.74,3.19
 96-106,0,0,3.28,6.56,31.69,2.19,2.19,201.08,0,25.14,6.56,134.42,131.14,30.6,10.93,2.19,5.46,17.49,128.96,0,565,0,38.25,17.49,114.75,2.19,132.23,37.16,0,16.39,4.37,0,0,7.65,0,0,7.65,1.09,15.3,239.33,16.39,3.28
108-118,0.77,0,2.3,8.43,9.96,0,0,187.66,0.77,20.68,9.19,111.83,121.79,16.85,3.83,1.53,8.43,2.3,153.19,0.77,369.96,0.77,22.98,16.85,80.43,0,66.64,20.68,0,9.96,3.83,0,0,5.36,0.77,0,4.6,1.53,7.66,162.38,9.96,0.77
120,0,0,0,0,15.68,5.88,0,96.03,0,9.8,3.92,76.43,68.59,17.64,0,5.88,5.88,3.92,117.59,3.92,256.73,0,13.72,21.56,74.47,0,23.52,7.84,0,11.76,1.96,0,0,3.92,0,0,3.92,1.96,11.76,121.51,3.92,1.96
