stage,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,melanocytes,neural,otic,periderm,spinal.cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0.98,1.96,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,1.06,1.06,0,3.19,1.06,0,0,1.06
 96-106,1.09,0,0,0,0,0,1.09,0,0,5.46,3.28,0,0,1.09
108-118,0,0,0,0.77,0,0,2.3,0,0.77,3.06,0,0,0.77,0.77
120,0,1.96,0,1.96,1.96,0,1.96,0,1.96,11.76,0,0,0,0
