stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,288.09,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,10.51,0,0,0,15.77,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,139.32,5.26,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.61,6.29,0,0,75.53,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,3,0,8,0,0,3,0,0,0,0,0,0,0,0,7,0,0,2,50,0,1,4,1,1,6,2,0,5,21,0,0,0,0,0
 24-34,0,0,0.82,0.82,4.1,0.82,0,4.1,1.64,0.82,4.1,1.64,0,0,0,0.82,0,0,0,11.49,0,0,6.57,119.84,0,2.46,1.64,0,1.64,0,0,0,0.82,31.19,0,0,1.64,0,1.64
 36-46,0,0,0,0,3.22,0,0,21.75,0,0,4.03,0,0,0.81,0,0,0,1.61,0,10.47,0,1.61,4.83,137.77,0,1.61,0,0,0.81,0,0,0,0,30.62,0,0,2.42,0,0
 48-58,0,0,0,0,0.57,0,0,32.13,0,0,6.89,0,0,0.57,0,0,0,0.57,0,13.2,0,0,0.57,83.2,0,1.72,0,0,0.57,0,0,0.57,0,14.92,0,0.57,0,0,0
 60-70,0,0,0,0,1.96,0,0,51.04,0.98,0.98,7.85,0.98,0,0,0,0,0,0,0,15.7,0,0,0.98,102.08,0,1.96,0.98,0,0.98,0,0,0,0,17.67,0,0,0,0,0.98
 72-82,0,0,0,0,1.96,3.93,0,53.01,0,0.98,9.82,0.98,0,0,0.98,0,0,0,0,21.6,1.96,0.98,1.96,92.28,0.98,2.94,1.96,0,0.98,0,0,0,0,11.78,0.98,0,0.98,0,0
 84-94,0,0,0,0,5.31,0,0,32.92,1.06,0,2.12,2.12,0,0,4.25,1.06,0,0,0,25.49,0,2.12,4.25,44.61,0,3.19,1.06,0,4.25,0,1.06,0,0,5.31,0,3.19,3.19,0,0
 96-106,0,0,0,0,3.28,0,0,25.14,0,0,3.28,0,0,1.09,0,0,0,2.19,0,18.58,0,3.28,1.09,44.81,0,1.09,2.19,0,3.28,0,0,0,0,4.37,1.09,0,0,1.09,1.09
108-118,0,0,0,0,5.36,0,0.77,20.68,0,2.3,4.6,0.77,0,0.77,3.06,0.77,0.77,0,0.77,15.32,0,0,1.53,53.62,0.77,0,1.53,0,0.77,0,0,0,0,1.53,0,0,0.77,0.77,1.53
120,0,0,0,0,1.96,3.92,0,21.56,0,1.96,0,0,0,0,3.92,0,0,1.96,0,17.64,0,0,3.92,37.24,1.96,0,1.96,0,1.96,0,1.96,0,0,1.96,1.96,0,5.88,0,0
