stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,5.75,0,0,10.67,0,0.82,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0.82,332.45,0,1.64,0,0,4.93,0,0,4.1,0,0,0,0,0
 36-46,0,4.83,0,0,12.89,0,0,0,5.64,0,0,0,0,0,0.81,0,0,3.22,0,0,0,478.57,0,0,0,0,2.42,0,0,12.89,0,0,1.61,0,0
 48-58,0,5.16,1.15,0,65.99,0.57,0.57,1.72,12.05,0,0,0,0.57,0.57,1.72,0,0,6.31,2.3,0,1.15,872.18,0,1.72,1.15,0,5.16,0,0,86.64,0,0,0.57,0,1.72
 60-70,0,24.54,0,0,80.48,0,1.96,0,22.58,0,0,1.96,3.93,0,4.91,0,0.98,13.74,8.83,1.96,0.98,1175.86,0.98,0.98,0,0,19.63,0,0,176.67,0,0,0.98,0,0
 72-82,0,51.05,1.96,0,88.35,0,1.96,0.98,21.6,0,0,18.65,13.74,0.98,7.85,0,0,43.19,12.76,0,0.98,790.24,0.98,0,1.96,0.98,41.23,0,0,65.77,4.91,1.96,2.94,0,0.98
 84-94,0,78.59,2.12,0,96.65,0,5.31,0,23.36,1.06,1.06,14.87,11.68,2.12,8.5,1.06,0,37.17,9.56,0,2.12,416.32,0,0,1.06,0,150.81,0,1.06,47.79,3.19,0,1.06,0,1.06
 96-106,0,77.59,2.19,1.09,59.01,0,0,0,17.49,0,0,38.25,14.21,1.09,3.28,0,0,28.41,10.93,0,1.09,309.28,0,1.09,1.09,0,112.56,0,1.09,9.84,0,0,0,1.09,0
108-118,0,97.28,0,0,36,0,6.13,1.53,9.19,3.06,0,33.7,9.19,0,1.53,0,0,33.7,8.43,0.77,0.77,383.75,0,2.3,0.77,0,108.77,0,0,8.43,2.3,0,0,0.77,0
120,0,90.15,0,0,52.91,0,13.72,3.92,15.68,3.92,0,39.2,3.92,0,1.96,1.96,0,29.4,3.92,0,0,362.56,0,0,0,0,90.15,3.92,0,1.96,3.92,0,0,0,0
