stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,7,1,0,2,0,0,0,0,0,0,4,0,2,11,0,0,0,0,0,0,1,1,1,10,0,1,0
 24-34,0,0,0,8.21,4.93,0,0.82,0,0,0.82,0,0,0,8.21,0,4.1,46.79,0,0,0.82,0,0,0.82,0,0,0,13.13,0,0,0
 36-46,0,0,0,2.42,32.23,0,0.81,0,0,0,0,0.81,0,6.45,0,2.42,26.59,0,0,0,0,0,0,0,0,0,9.67,0,0,0
 48-58,0,0,0,1.15,113.04,0,5.74,0,0,0,0,0,0,5.74,0,1.15,12.62,0,0.57,0.57,0,0,2.3,0,0.57,0,2.3,0,0,0
 60-70,0,0,0,0,170.78,0.98,1.96,0,0,0,0,0.98,0,10.8,0,0,5.89,0,0,0,0,0,0.98,0,0,0,1.96,0,0,0
 72-82,0,0,0,2.94,147.25,0.98,4.91,0,0.98,0,0,0.98,0,10.8,0.98,0,11.78,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,1.06,0,2.12,79.65,0,4.25,0,0,0,0,0,0,8.5,2.12,1.06,7.43,1.06,0,0,0,0,3.19,0,0,0,0,0,0,1.06
 96-106,0,0,0,2.19,64.48,0,5.46,1.09,0,0,1.09,0,1.09,10.93,0,2.19,6.56,0,0,0,0,1.09,2.19,0,1.09,0,0,0,1.09,1.09
108-118,0,0,0,5.36,51.32,0.77,3.06,0.77,1.53,0,0,0.77,0,6.13,0,3.83,5.36,0,0,1.53,0,0,2.3,0,0,0,0,0.77,0,0
120,0,0,0,5.88,43.12,0,0,1.96,0,0,0,0,0,1.96,0,0,3.92,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0
