stage,epidermis,erythrocytes,eye,fast.muscle,glial,heart,immune,iridophores,mesenchyme,muscle,neural,paraxial.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,3.28,0,0,0.82,0,0
 36-46,0,0,0.81,1.61,0,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0.57,0,0,0,0,0,1.72,0,0,0,0.57,0
 60-70,0,0,0.98,5.89,0,0,0,0,0,0.98,0.98,0.98,0,0,0,0
 72-82,0,0,0.98,6.87,0,0,0,0,0.98,0.98,2.94,0,0,0,0,0
 84-94,0,1.06,2.12,15.93,0,0,0,0,0,2.12,1.06,0,0,0,0,1.06
 96-106,0,0,0,22.95,0,0,1.09,1.09,2.19,0,1.09,0,0,0,0,0
108-118,0,0,0,17.62,0,0.77,0,0,0.77,3.06,1.53,0,1.53,0,0,1.53
120,1.96,0,0,15.68,0,1.96,0,0,0,0,0,0,1.96,0,0,3.92
