stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,10,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0
 24-34,0,0,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,5.75,38.58,0.82,0.82,1.64,0,0,39.4,0,1.64,0,16.42,0,0,3.28,0,0
 36-46,0,0,1.61,0,0,2.42,0,0.81,0,0,0,0.81,0.81,0,0.81,0,0,0.81,16.92,0,0,0.81,27.39,4.03,0,2.42,0,0,34.64,0,1.61,0.81,12.89,0,0,2.42,0,0
 48-58,0,0,1.15,0,0,5.16,0,0,0,1.72,0.57,0.57,0.57,0,0,0,0.57,0.57,10.33,0,0,2.3,17.21,1.15,0,0,0,0,14.35,0,0,0,3.44,0,0,1.15,0,0
 60-70,0,0,4.91,0,0,4.91,0,2.94,0,10.8,0,0,0,0.98,0,0,0,0,30.43,0,0.98,2.94,27.48,0,0.98,0.98,0,0.98,30.43,0,0,0,3.93,0,0.98,0.98,0,1.96
 72-82,0,0,1.96,0,0,3.93,0,0.98,0,12.76,0,0,0,0,0,0,0.98,0.98,27.49,0,0,2.94,14.72,0,1.96,1.96,0,1.96,18.65,0,0,0,0.98,0,0,1.96,0,0
 84-94,0,0,7.43,1.06,0,6.37,1.06,1.06,0,15.93,0,1.06,1.06,0,2.12,0,0,1.06,20.18,0,0,0,6.37,1.06,0,2.12,0,0,37.17,0,1.06,0,0,0,1.06,3.19,0,0
 96-106,0,0,5.46,0,0,8.74,0,3.28,0,19.67,5.46,0,1.09,3.28,1.09,0,5.46,0,18.58,1.09,0,2.19,10.93,0,1.09,1.09,0,2.19,39.34,0,0,0,3.28,1.09,0,4.37,2.19,1.09
108-118,0,0,7.66,0.77,0.77,9.19,0.77,1.53,0.77,22.21,0.77,0,2.3,0.77,3.06,1.53,2.3,0,29.11,0,3.06,3.83,16.09,1.53,3.06,0.77,0,0,26.04,0,0,0,3.06,0,0.77,3.06,0.77,0.77
120,0,0,15.68,0,0,9.8,0,1.96,0,15.68,1.96,0,0,0,3.92,0,3.92,0,13.72,1.96,0,0,5.88,1.96,0,0,0,1.96,15.68,0,0,0,0,1.96,0,1.96,1.96,1.96
