stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,9,1,2,0,0,1,0,0,0,1,3,0,5,52,1,1,1,1,0,4,0,4,19,0,0,0,0
 24-34,0,1.64,0,1.64,0,0,0,0,0,0.82,0,1.64,0,0.82,15.6,0,0,0,0,0.82,0,0.82,0,3.28,0,0,1.64,0
 36-46,0,0,0,3.22,0.81,0,2.42,0,0,0,0,0.81,0,0.81,25.78,0,1.61,0.81,0,4.03,0,0,0,5.64,0,0,0,0
 48-58,0,1.72,0,2.3,0.57,0,0.57,0,0.57,0.57,0,4.02,0,1.15,17.21,0,0.57,0,0,0.57,0,0,0,3.44,0,0,0,0
 60-70,0,2.94,0,16.69,0.98,0,5.89,0,0,0,0,11.78,0,1.96,43.19,0,1.96,0.98,0,0.98,0,0.98,0,11.78,0,0,0.98,0
 72-82,0,0.98,0,20.61,0,0.98,4.91,1.96,0,0,0,7.85,0,1.96,30.43,0,2.94,0,0,0,0,0,0,8.83,0,0,0.98,0.98
 84-94,0,2.12,0,5.31,1.06,0,4.25,0,0,0,0,5.31,1.06,1.06,12.74,0,3.19,0,0,3.19,0,0,0,1.06,1.06,0,0,0
 96-106,1.09,1.09,1.09,2.19,0,0,1.09,2.19,0,0,0,5.46,0,0,15.3,0,3.28,1.09,0,0,0,0,0,1.09,0,0,1.09,1.09
108-118,0.77,0.77,2.3,4.6,0,0,0.77,0.77,0,1.53,0,13.79,0,1.53,19.15,0,1.53,0.77,0,3.83,0,0,0,3.06,0,0.77,0,0
120,0,1.96,0,1.96,0,0,3.92,1.96,0,0,0,1.96,0,1.96,17.64,0,1.96,0,0,0,0,0,0,3.92,0,0,0,1.96
